external_id,name,winery_name,type,storage_area,size,vintage,price,info,quantity,internal_notes
1,demi: 375 ml,,,,BOTTLE,,,,0.0,
2,champagne rosé,Ruinart,,,HALF_BOTTLE,,85.0,,23.0,
3,champagne blanc de blanc,Ruinart,,,HALF_BOTTLE,,80.0,,19.0,
4,venegazzù della casa,Loredan e Gasperin,,,HALF_BOTTLE,17,25.0,,0.0,
5,santa maddalena,Cantina di Bolzano,,,HALF_BOTTLE,21,15.0,,0.0,
6,lagrein,Cantina di Bolzano,,,HALF_BOTTLE,2021,15.0,,0.0,
6,lagrein,Cantina di Bolzano,,,HALF_BOTTLE,2022,15.0,,0.0,
7,terlaner,Cantina di Terlano,,,HALF_BOTTLE,21,24.0,,0.0,
8,blauburgunder meczan,Tenuta J. Hofstätter,,,HALF_BOTTLE,21,18.0,,0.0,
9,cabernet sauvignon,Lis Neris,,,HALF_BOTTLE,19,18.0,,0.0,
9,cabernet sauvignon,Lis Neris,,,HALF_BOTTLE,20,18.0,,0.0,
10,valpolicella ripasso campofiorin,Masi,,,HALF_BOTTLE,20,23.0,,0.0,
11,barbaresco dop,Gaja,,,HALF_BOTTLE,19,130.0,,10.0,
12,ripassa,Zenato,,,HALF_BOTTLE,19,27.0,,0.0,
13,amarone classico classico,Zenato,,,HALF_BOTTLE,17,42.0,,0.0,
14,gewurztraminer ceslar,Cantina di Bolzano,,,HALF_BOTTLE,21,16.0,,4.0,
16,champagne & ...,,,,BOTTLE,,,,0.0,
17,champagne cuvée brut,Laurent Perrier,,,BOTTLE,,80.0,,2.0,
19,champagne millesimato,Laurent Perrier,,,MAGNUM,8,,,2.0,
20,champagne cuvée rosé,Laurent Perrier,,,BOTTLE,,110.0,,3.0,
21,champagne cuvée rosé,Laurent Perrier,,,MAGNUM,,230.0,,2.0,
22,champagne rosé,J.M. Gobillard et Fils,,,BOTTLE,,,,13.0,
23,champagne rosé millesimé,J.M. Gobillard et Fils,,,MAGNUM,14,,,2.0,
24,champagne blanc de blanc,J.M. Gobillard et Fils,,,BOTTLE,,80.0,,83.0,
25,champagne blanc de blanc brut,J.M. Gobillard et Fils,,,MAGNUM,,160.0,,14.0,
26,champagne privilege des moines,J.M. Gobillard et Fils,,,BOTTLE,,80.0,,10.0,
27,champagne blanc de noirs brut,J.M. Gobillard et Fils,,,BOTTLE,,80.0,,3.0,
28,champagne brut,Gimonnet & Fils,,,BOTTLE,,80.0,,0.0,
29,champagne,Dom Perignon,,,MAGNUM,10,850.0,,1.0,
30,champagne,Dom Perignon ,,,BOTTLE,2008,,,1.0,
31,champagne,Dom Perignon,,,BOTTLE,10,400.0,,1.0,
32,champagne,Dom Perignon,,,BOTTLE,12,380.0,,2.0,
33,champagne,Dom Perignon,,,BOTTLE,13,380.0,,12.0,
34,champagne brut royale reserve,Philipponnat,,,BOTTLE,,85.0,,2.0,
35,champagne brut,Petrois Moriset,,,BOTTLE,,80.0,,2.0,
36,champagne assemblage,Petrois Moriset,,,BOTTLE,,90.0,,1.0,
37,champagne 168 edition,Krug,,,BOTTLE,,450.0,,0.0,
38,champagne grande cuvée,Krug,,,BOTTLE,17,450.0,,0.0,
40,champagne reserve imperiale,Moet & Chandon,,,MAGNUM,,210.0,,4.0,
42,champagne collection 243,Roederer,,,MAGNUM,,220.0,,5.0,
43,champagne cristal,Roederer,,,BOTTLE,13,420.0,,1.0,
44,champagne collection 242,Roederer,,,BOTTLE,,95.0,,0.0,
45,champagne collection 242,Roederer,,,MAGNUM,17,160.0,,0.0,
46,champagne vintage rosé,Veuve Cliquot,,,BOTTLE,12,140.0,,6.0,
47,champagne cuvée saint petersbourg,Veuve Cliquot,,,BOTTLE,,90.0,,6.0,
48,champagne blanc de blanc,Ruinart,,,BOTTLE,,140.0,,1.0,
49,champagne blanc de blanc,Ruinart,,,MAGNUM,,320.0,,5.0,
50,champagne rosé,Ruinart,,,BOTTLE,,140.0,,13.0,
51,champagne rosé,Ruinart,,,MAGNUM,,320.0,,9.0,
52,champagne special cuvée,Bollinger,,,BOTTLE,,110.0,,27.0,
53,champagne special cuvée,Bollinger,,,MAGNUM,,240.0,,6.0,
55,champagne rosé,Bollinger,,,BOTTLE,,110.0,,4.0,
56,champagne b13,Bollinger,,,BOTTLE,,240.0,,0.0,
57,champagne special cuvee 007,Bollinger,,,BOTTLE,,130.0,,9.0,
58,champagne,Bollinger,,,MAGNUM,,230.0,,0.0,
59,champagne extra brut,Gosset,,,BOTTLE,,90.0,,1.0,
60,champagne brut nature,Dechannes,,,BOTTLE,,85.0,,19.0,
61,champagne n.7,Ayala,,,BOTTLE,,,,2.0,
62,champagne grand brut,Perrier et Jouet,,,MAGNUM,,,,1.0,
63,champagne millesime rare,Rare,,,BOTTLE,,,,1.0,
64,metodo classico,,,,BOTTLE,,,,0.0,
65,franciacorta grande cuvée alma brut,Bellavista,,,BOTTLE,,80.0,,12.0,
66,franciacorta grande cuvée alma brut,Bellavista,,,MAGNUM,,150.0,,1.0,
67,franciacorta cuvee,Bellavista,,,MAGNUM,2005,,,1.0,
68,franciacorta cuvée prestige,Ca' del Bosco,,,BOTTLE,,80.0,,6.0,
69,franciacorta cuvée prestige,Ca' del Bosco,,,MAGNUM,,160.0,,0.0,
70,franciacorta brut,Enrico Gatti,,,BOTTLE,,50.0,,173.0,
71,franciacorta brut,Enrico Gatti,,,MAGNUM,,105.0,,4.0,
72,franciacorta prima cuvée brut,Monte Rossa,,,BOTTLE,,54.0,,0.0,
73,franciacorta prima cuvée brut,Monte Rossa,,,MAGNUM,,100.0,,0.0,
74,franciacorta brut p.r. blanc de blancs,Monte Rossa,,,BOTTLE,,,,0.0,
75,franciacorta satèn,Monte Rossa,,,MAGNUM,,80.0,,0.0,
77,franciacorta animante extra brut,Barone Pizzini,,,BOTTLE,,60.0,,8.0,
78,franciacorta golf 1927 brut,Barone Pizzini,,,BOTTLE,,65.0,,4.0,
79,franciacorta satèn,Barone Pizzini,,,BOTTLE,19,,,1.0,
80,spumante brut,Maso Martis,,,BOTTLE,,60.0,,16.0,
81,spumante brut millesimato,Maso Martis,,,MAGNUM,16,105.0,,1.0,
82,spumante ferrari perlé,Ferrari,,,BOTTLE,18,65.0,,6.0,
83,spumante ferrari perlé,Ferrari,,,MAGNUM,12,160.0,,6.0,
84,spumante riserva del fondatore,Giulio Ferrari,,,MAGNUM,8,420.0,,1.0,
86,spumante riserva lunelli,Giulio Ferrari,,,BOTTLE,6,250.0,,0.0,
87,spumante cuvée voyage,Frescobaldi,,,BOTTLE,,38.0,,3.0,
88,spumante riesling brut,P. J. Kuhn,,,BOTTLE,19,50.0,,15.0,
89,spumante lamm n.12 extra brut,Winkler,,,BOTTLE,,65.0,,7.0,
90,spumante extra brut,Loredan Gasparini,,,BOTTLE,1979,45.0,,0.0,
90,spumante extra brut,Loredan Gasparini,,,BOTTLE,2019,45.0,,0.0,
91,prosecco,,,,BOTTLE,,,,0.0,
92,valdobbiadene docg prosecco superiore extra dry,Agostinetto,,,BOTTLE,,25.0,,82.0,
93,valdobbiadene docg vigna del baffo,Agostinetto,,,BOTTLE,,,,4.0,
95,"valdobbiadene prosecco superiore docg ""bareta"" brut",Merotto,,,BOTTLE,,30.0,,42.0,
96,"valdobbiadene prosecco superiore docg ""castè"" extra dry",Merotto,,,BOTTLE,,30.0,,0.0,
97,valdobbiadene prosecco superiore docg brut,Nino Franco,,,BOTTLE,,30.0,,24.0,
98,prosecco millesimato brut,Ardenghi,,,BOTTLE,,30.0,,0.0,
99,"valdobbiadene prosecco superiore docg ""fagher"" brut",Le Colture,,,BOTTLE,,25.0,,0.0,
100,"valdobbiadene prosecco superiore docg ""fagher"" brut",Le Colture,,,MAGNUM,,50.0,,16.0,
101,prosecco extra dry,Borgo Antico,,,BOTTLE,,28.0,,0.0,
102,valdobbiadene docg brut,Ra Spondes de Edy,,,BOTTLE,,,,44.0,
104,vini bianchi,,,,BOTTLE,,,,0.0,
105,trentino alto adige,,,,BOTTLE,,,,0.0,
106,"gewurztraminer ""nussbaumer""",Tramin,,,BOTTLE,20,60.0,,12.0,
109,gewurztraminer,Franz Haas,,,BOTTLE,20,48.0,,17.0,
112,gewurztraminer praepositus,,,,BOTTLE,,,,0.0,
113,gewurtztraminer,Pacherhof,,,BOTTLE,21,45.0,,8.0,
114,gewurtztraminer,Kofererhof,,,BOTTLE,21,38.0,,4.0,
115,"gewurtztraminer ""ceslar""",Cantina di Bolzano,,,BOTTLE,21,28.0,,8.0,
117,manna,Franz Haas,,,MAGNUM,20,120.0,,20.0,
118,kerner,Abbazia di Novacella,,,BOTTLE,20,30.0,,0.0,
121,müller thurgau,Elena Walch,,,BOTTLE,21,23.0,,4.0,
125,pinot grigio,Tramin,,,BOTTLE,22,27.0,,11.0,
126,"riesling ""castel ringberg""",Elena Walch,,,BOTTLE,22,42.0,,32.0,
128,sauvignon,Tramin,,,BOTTLE,22,30.0,,10.0,
129,sauvignon,Elena Walch,,,BOTTLE,22,27.0,,15.0,
130,souvignier gris piwi,Thomas Niedermayr,,,BOTTLE,18,40.0,,3.0,
131,weissburgunder 76,Thomas Niedermayr,,,BOTTLE,17,50.0,,3.0,
132,riesling r,Kofererhof,,,BOTTLE,22,,,12.0,
134,müller thurgau,Kofererhof,,,BOTTLE,,26.0,,0.0,
135,sylvaner,Pacherhof,,,BOTTLE,22,36.0,,8.0,
137,sylvaner stiftsgarten,Abbazia di Novacella,,,BOTTLE,19,98.0,,6.0,
140,friuli venezia giulia,,,,BOTTLE,,,,0.0,
141,chardonnay sharis igt,Livio Felluga,,,BOTTLE,22,36.0,,3.0,
142,chardonnay,Silvio Jermann,,,BOTTLE,21,40.0,,6.0,
143,chardonnay,Borgo Conventi,,,BOTTLE,21,19.0,,1.0,
144,luna di ponca,Borgo Conventi,,,MAGNUM,19,,,1.0,
145,chardonnay zittelle,Miani,,,BOTTLE,20,110.0,,4.0,
148,sauvignon,Miani,,,BOTTLE,18,110.0,,6.0,
150,sauvignon,Miani Zitelle,,,MAGNUM,17,220.0,,1.0,
151,vintage tunina,Silvio Jermann,,,BOTTLE,20,70.0,,0.0,
153,friulano,Miani ,,,BOTTLE,22,56.0,,4.0,
154,friulano doc collio ronco delle cime,Venica,,,BOTTLE,21,60.0,,15.0,
155,friulano,Schioppetto,,,BOTTLE,21,42.0,,15.0,
156,friulano,Simon Komjanc,,,BOTTLE,19,21.0,,0.0,
157,friulano isonzo del friuli doc,Borgo Conventi,,,BOTTLE,21,21.0,,8.0,
158,friulano,Az. Agricola Toros,,,BOTTLE,22,45.0,,10.0,
159,friulano,Meroi,,,BOTTLE,21,50.0,,5.0,
161,ribolla gialla,La Viarte,,,BOTTLE,21,39.0,,5.0,
162,ribolla gialla,Tenuta Stella,,,BOTTLE,19,,,1.0,
163,ribolla gialla collio,Ronco Blanchis,,,BOTTLE,22,,,6.0,
164,pinot grigio,Borgo Conventi,,,BOTTLE,21,21.0,,10.0,
166,pinot bianco,Az. Agricola Toros,,,BOTTLE,21,60.0,,5.0,
167,sauvignon ronco delle mele doc collio,Venica,,,BOTTLE,21,80.0,,11.0,
168,nekaj friulano,Damijan,,,BOTTLE,18,63.0,,1.0,
170,malvasia la mont di zuc,Miani,,,BOTTLE,19,75.0,,5.0,
171,ograde bianco,Skerk,,,BOTTLE,20,70.0,,6.0,
172,vitovska,Kante,,,BOTTLE,19,,,1.0,
173,uve carate bianco doc,Castello di Buttrio,,,BOTTLE,20,75.0,,6.0,
174,malvasia,Tenuta Stella,,,BOTTLE,21,,,1.0,
175,malvasia,Schioppetto,,,BOTTLE,21,42.0,,5.0,
176,malvasia,Amphoreus Paraschos,,,BOTTLE,19,75.0,,4.0,
178,veneto,,,,BOTTLE,19,,,0.0,
179,soave classico montesei classico,Le Battistelle,,,BOTTLE,22,18.0,,10.0,
180,soave,Bertani,,,BOTTLE,22,33.0,,4.0,
181,soave cuvée speciale,Az. Agr. Inama,,,BOTTLE,21,,,3.0,
185,soave classico doc foscarino,Az. Agr. Inama,,,MAGNUM,20,110.0,,4.0,
186,soave classico du lot collection,Az. Agr. Inama,,,BOTTLE,18,75.0,,11.0,
187,soave classico du lot collection,Az. Agr. Inama,,,MAGNUM,18,140.0,,3.0,
189,sauvignon vulcaia fumé,Az. Agr. Inama,,,MAGNUM,20,140.0,,4.0,
190,lugana oasi mantellina,Allegrini,,,BOTTLE,22,33.0,,5.0,
191,incrocio manzoni,Loredan Gasparini,,,BOTTLE,23,,,0.0,
192,ribolla gialla,Loredan Gasparini,,,BOTTLE,22,35.0,,0.0,
194,vivo vino bianco,De Martin A &G,,,BOTTLE,23,,,6.0,
195,pinot grigio,Marco Levis,,,BOTTLE,20,,,5.0,
197,umbria,,,,BOTTLE,,,,0.0,
198,cervaro della sala,Marchesi Antinori,,,BOTTLE,13,120.0,,2.0,
199,cervaro della sala,Marchesi Antinori,,,BOTTLE,14,120.0,,0.0,
201,puglia,,,,BOTTLE,,,,0.0,
202,prenhite verdeca salento igp,Vespa Vignaioli,,,BOTTLE,,,,0.0,
205,sardegna,,,,BOTTLE,,,,0.0,
206,capichera bianco igt,Capichera,,,BOTTLE,5,52.0,,2.0,
207,"vermentino di sardegna ""cala silente""",Santadi,,,BOTTLE,19,21.0,,2.0,
208,vernaccia extra,Produttori riuniti,,,BOTTLE,68,,,1.0,
210,piemonte,,,,BOTTLE,,,,0.0,
211,rossj bass langhe dop,Gaja,,,BOTTLE,21,104.0,,4.0,
212,rossj bass langhe dop,Gaja,,,BOTTLE,22,90.0,,6.0,
213,gavi di gavi,Nicola Bergaglio,,,BOTTLE,20,21.0,,0.0,
215,marche,,,,BOTTLE,,,,0.0,
216,verdicchio di jesi superiore massaccio,Tenute San Sisto,,,BOTTLE,20,28.0,,17.0,
217,pecorino santa maria,Vinicentanni,,,BOTTLE,21,,,5.0,
219,campania,,,,BOTTLE,,,,0.0,
220,furore bianco fiorduva,Marisa Cuomo,,,BOTTLE,18,82.0,,1.0,
221,furore bianco fiorduva,Marisa Cuomo,,,BOTTLE,21,78.0,,0.0,
222,furore bianco fiorduva,Marisa Cuomo,,,BOTTLE,22,42.0,,1.0,
224,toscana,,,,BOTTLE,,,,0.0,
225,sambrena bianco igt,Tenuta La Novella,,,BOTTLE,19,20.0,,5.0,
227,vini bianchi esteri,,,,BOTTLE,,,,0.0,
228,"grüner veltliner ""federspiel rotes tor""",Franz Hirtzberger,,,BOTTLE,13,60.0,,4.0,
229,viognier sauvignon equinoxe,l’Arjolle,,,BOTTLE,22,36.0,,4.0,
230,riesling klausberg private reserve,Nikolaihof,,,BOTTLE,09,90.0,,3.0,
231,riesling smaragd wachau,Nikolaihof,,,BOTTLE,16,72.0,,3.0,
232,riesling vom stein federspiel,Nikolaihof,,,BOTTLE,11,72.0,,1.0,
233,riesling federspiel,Nikolaihof,,,BOTTLE,20,,,6.0,
234,veltriner fruhroter,Nikolaihof,,,BOTTLE,11,40.0,,4.0,
236,grüner veltliner smaragd,Nikolaihof,,,BOTTLE,15,73.0,,3.0,
237,riesling steiner hund,Nikolaihof,,,BOTTLE,15,73.0,,4.0,
238,grüner veltliner,Stift Kloster Neuburg,,,BOTTLE,21,35.0,,3.0,
239,weißburgunder,Stift Kloster Neuburg,,,BOTTLE,21,35.0,,5.0,
240,chardonnay,Stift Kloster Neuburg,,,BOTTLE,21,66.0,,0.0,
241,riesling federspiel,Rudi Pichler,,,BOTTLE,18,40.0,,0.0,
243,chablis mise tardive bio,Domaine Pattes Loup,,,BOTTLE,20,75.0,,0.0,
244,chablis vielles vignes,Domaine Daniel-Etienne Defaix,,,BOTTLE,20,70.0,,5.0,
245,chablis premier cru vaillon,Domaine Daniel-Etienne Defaix,,,BOTTLE,10,90.0,,7.0,
247,équinoxe viognier sauvignon,Domaine Daniel-Etienne Defaix,,,BOTTLE,22,33.0,,0.0,
249,muscat réserve,Domaine Weinbach,,,BOTTLE,11,54.0,,3.0,
250,pinot blanc,Domaine Weinbach,,,BOTTLE,20,40.0,,5.0,
252,chardonnay saint aubin,Domaine Morey Coffinet,,,BOTTLE,20,88.0,,2.0,
253,"rosé ""esprit gassier""",Château Gassier,,,BOTTLE,21,33.0,,0.0,
254,chablis,Thomas Pico,,,BOTTLE,20,,,0.0,
255,chardonnay bourgogne,Antoine Jobard,,,BOTTLE,20,35.0,,0.0,
256,"puligny montrachet premier cru ""les nosroyes""",Genot Boulanger,,,BOTTLE,20,160.0,,2.0,
257,"puligny montrachet premier cru ""la garenne""",Genot Boulanger,,,BOTTLE,20,270.0,,2.0,
258,les tilles blanc meursault,Domaine Pierre Labet ,,,BOTTLE,20,150.0,,3.0,
259,chardonnay,Weingut Martin Wassmer,,,BOTTLE,21,,,6.0,
261,"altri vini biodinamici, biologici e naturali",,,,BOTTLE,,,,0.0,
262,"garganega ""bucce"" macerato",Marco Mosconi,,,BOTTLE,19,34.0,,0.0,
262,"garganega ""bucce"" macerato",Marco Mosconi,,,BOTTLE,20,34.0,,0.0,
264,vini rosati,,,,BOTTLE,,,,0.0,
266,rumor cotes de provence,,,,BOTTLE,,,,0.0,
267,espirit grassier,ed limitata,,,BOTTLE,,,,2.0,
268,vini rossi,,,,BOTTLE,,,,0.0,
269,veneto,,,,BOTTLE,,,,0.0,
270,azienda agricola quintarelli,,,,BOTTLE,,,,0.0,
272,alzero,Azienda Agricola Quintarelli,,,BOTTLE,14,450.0,,4.0,
274,rosso del bepi,Azienda Agricola Quintarelli,,,MAGNUM,14,450.0,,2.0,
275,amarone,Azienda Agricola Quintarelli,,,BOTTLE,12,407.0,,5.0,
276,amarone,Azienda Agricola Quintarelli,,,BOTTLE,13,410.0,,3.0,
277,amarone,Azienda Agricola Quintarelli,,,MAGNUM,11,860.0,,1.0,
278,amarone,Azienda Agricola Quintarelli,,,MAGNUM,12,890.0,,2.0,
279,monteversa,,,,BOTTLE,,,,0.0,
281,rosso bio animaversa,Monteversa,,,MAGNUM,15,90.0,,0.0,
282,rosso bio versacinto,Monteversa,,,BOTTLE,19,25.0,,5.0,
283,bonotto delle tezze,,,,BOTTLE,,,,0.0,
