"type","size","storage_area","name1","name2","winery","vintage","qty","purchase_price_eur","sales_price_eur",,,
"WHITE","BOTTLE","D1","Bianco","Kaplja"," Damijan Podversic",2018,12,28.50 €,64.00 €,,,
"WHITE","BOTTLE","D1","Bianco","Kaplja"," Damijan Podversic",2017,4,25.00 €,64.00 €,,,
"WHITE","BOTTLE","B5","Bianco","Pulsar","Roberto Ferrari",2018,7,26.50 €,68.00 €,,,
"WHITE","BOTTLE",,"Bianco","Pulsar","Roberto Ferrari",2017,2,26.50 €,68.00 €,,,
"WHITE","BOTTLE",,"Bianco","Pulsar","Roberto Ferrari",2016,2,26.50 €,72.00 €,,,
"WHITE","BOTTLE",,"Bianco","Pulsar","Roberto Ferrari",2019,12,29.50 €,72.00 €,,,
"WHITE","BOTTLE",,"Bianco","Bla","A. Lageder",,2,15.00 €,48.00 €,,,
"WHITE","BOTTLE",,"Blatterle","Bla Bla 2","Alois Lageder",,2,15.00 €,48.00 €,,,
"WHITE","BOTTLE","D4","Carricante","SciareVive Bianco ","Vigneti Vecchi",2020,8,17.50 €,48.00 €,,,
"WHITE","BOTTLE","C2","Chardonnay","Sol","Ronco del Gnemiz",2019,4,21.00 €,56.00 €,,,
"WHITE","BOTTLE","MAG","Chardonnay","Altkirch","K. Schreckbichl",2023,6,7.80 €,29.50 €,,,
"WHITE","BOTTLE","C1","Chardonnay","Sophie","Manincor",2022,2,24.90 €,58.00 €,,,
"WHITE","BOTTLE","C1","Chardonnay","Sophie","Manincor",2017,2,24.90 €,58.00 €,,,
"WHITE","BOTTLE","C1","Chardonnay","Sophie","Manincor",2023,30,26.80 €,58.00 €,,,
"WHITE","BOTTLE","A5","Chardonnay","Pouilly- Sur la Roche","Saumaize",2022,7,26.00 €,63.00 €,,,
"WHITE","BOTTLE","B5","Chardonnay ","Costa Toscana","Terre del Silabo",2015,6,19.50 €,53.00 €,,,
"WHITE","BOTTLE","MAG","Chardonnay","First Lady Bio ","Papstlhof",2023,25,15.00 €,44.00 €,,,
"WHITE","BOTTLE","C1","Chardonnay Bio","Löwengang","Lageder",2019,9,29.90 €,86.00 €,,,
"WHITE","BOTTLE","C1","Chardonnay Bio","Löwengang","Lageder",2016,3,29.90 €,86.00 €,,,
"WHITE","BOTTLE","C1","Chardonnay Bio","Löwengang","Lageder",2015,2,29.90 €,86.00 €,,,
"WHITE","BOTTLE","B4","Chardonnay ","Beyond the Clouds","Elena Walch",2022,1,39.40 €,88.00 €,,,
"WHITE","BOTTLE","OUT","Chardonnay","Chablis V.V.","Thierry Laffay",2019,0,21.90 €,58.00 €,,,
"WHITE","BOTTLE","A5","Chardonnay","Chablis Cote de Ledhet 1er Cru","Daniel Dampt",2021,0,26.50 €,68.00 €,,,
"WHITE","BOTTLE","A4","Chardonnay","Bourgogne Blanc Cote d'Or","Jean Michael Gaunoux",2022,14,27.50 €,68.00 €,,,
"WHITE","BOTTLE","A5","Chenin Blanc","Les Perrieres Saumur Blanc","Arnaud Lambert",2020,0,15.20 €,44.00 €,,,
"WHITE","BOTTLE","E1","Cuvee","Pet Nat vol 4","Fuchs und Hase",,24,19.00 €,52.00 €,,,
"WHITE","BOTTLE","MAG","Cuvee","Pet Nat vol 2","Fuchs und Hase",,12,17.00 €,52.00 €,,,
"WHITE","BOTTLE","D2","Cuvee GrünVel, Riesl, bacche rosse","Kalkspitz Pet Nat Bio","Christoph Hoch",,3,13.50 €,42.00 €,,,
"WHITE","BOTTLE","B5","Cuvee","Anisos","Eugenio Rosi",2020,4,13.40 €,38.00 €,,,
"WHITE","BOTTLE","B5","Cuvee","Anisos","Eugenio Rosi",2021,11,14.80 €,38.00 €,,,
"WHITE","BOTTLE","Mag","Cuvee","Anisos","Eugenio Rosi",2016,6,22.00 €,48.00 €,,,
"WHITE","BOTTLE","MAG","Cuvee","Dolomytos","Ansitz Dolomytos",2014,10,28.00 €,63.00 €,,,
"WHITE","BOTTLE","MAG","Cuvee","Dolomytos"," Ansitz Dolomytos",2005,20,28.00 €,63.00 €,,,
"WHITE","BOTTLE","MAG","Cuvee","Dolomytos"," Ansitz Dolomytos",2007,5,28.00 €,63.00 €,,,
"WHITE","BOTTLE","MAG","Cuvee","Dolomytos"," Ansitz Dolomytos",2019,15,28.00 €,63.00 €,,,
"WHITE","BOTTLE","MAG","Cuvee","Stoan","Tramin",2022,25,20.80 €,52.00 €,,,
"WHITE","BOTTLE","C4","Cuvee","VRH Bianco","Riserva La Castellada",2011,4,33.00 €,98.00 €,,,
"WHITE","BOTTLE","B2","Cuvee","LR Bianco Riserva","Schreckbichl",2019,2,50.30 €,132.00 €,,,
"WHITE","BOTTLE","B2","Cuvee","Appius","St. Michael",2017,5,78.00 €,166.00 €,,,
"WHITE","BOTTLE","C3","Cuvee","Nova Domus Riserva","K. Terlan",2021,8,31.10 €,72.00 €,,,
"WHITE","BOTTLE",,"Cuvee ","Mus -XIX","A. Lageder",2019,4,15.00 €,48.00 €,,,
"WHITE","BOTTLE",,"Cuvee ","Zie XVIII Dolomiti","A. Lageder",2018,2,15.00 €,48.00 €,,,
"WHITE","BOTTLE",,"Cuvee ","SEM","A. Lageder",2019,2,15.00 €,48.00 €,,,
"WHITE","BOTTLE","B3","Cuvee Weiss","Timotheus","Gut Oggau",2023,5,39.00 €,92.00 €,,,
"WHITE","BOTTLE","B3","Cuvee Weiss","Theodora","Gut Oggau",2023,9,24.50 €,64.00 €,,,
"WHITE","BOTTLE",3,"Cuvee Bio","Muscat","Heinrich Freyheit",2020,3,22.00 €,56.00 €,,,
"WHITE","BOTTLE","D3","Cuvee Bio","Graue Freiheit","Heinrich Freyheit",2021,1,22.00 €,56.00 €,,,
"WHITE","BOTTLE","C2","Cuvee","Solera ""Revolution""","Johannes Zillinger ",,7,12.00 €,39.00 €,,,
"WHITE","BOTTLE","D3","Cuvee","Materia Prima Bio ","Fritsch",2021,8,24.00 €,59.00 €,,,
"WHITE","BOTTLE","MAG","Cuvee bianco Piwi ","Petit Boutique Bio","Boutique Winery",2020,24,17.50 €,48.00 €,,,
"WHITE","BOTTLE","B1","Fiano","Ognostro","Az. Agri Tinessa",2022,3,21.50 €,58.00 €,,,
"WHITE","BOTTLE","MAG","Gewürztraminer","Castelfeder","Von Lehm",2023,35,12.50 €,38.00 €,,,
"WHITE","BOTTLE","MAG","Gewürztraminer","Mitterberg IGT/Doc","In der Eben ",2021,18,16.60 €,48.00 €,,,
"WHITE","BOTTLE","B3","Gewürztraminer","Emmeramm","Gut Oggau",2023,5,39.00 €,92.00 €,,,
"WHITE","BOTTLE","MAG","Gewürztraminer","Praesulis","Gumpfhof",2022,0,13.80 €,42.00 €,,,
"WHITE","BOTTLE","A2","Grüner Veltliner","Kollmütz Terrassen","Rudi Pichler",2021,0,30.90 €,74.00 €,,,
"WHITE","BOTTLE","MAG","Kerner","Gall","Griesser",2023,0,12.70 €,39.00 €,,,
"WHITE","BOTTLE","B1","Kerner","Kontur ","Rielingerhof",2021,8,25.00 €,62.00 €,,,
"WHITE","BOTTLE",,"Müller Thurgau","Thur XVI","Alois Lageder",2016,2,15.00 €,48.00 €,,,
"WHITE","BOTTLE","A2","Pigato/Vermentino","Crescendo","Tenuta Selvadolce",2022,6,21.00 €,58.00 €,,,
"WHITE","BOTTLE","MAG","Pinot Grigio","Fuoripista","Foradori",2022,20,19.00 €,51.00 €,,,
"WHITE","BOTTLE","C4","Pinot Grigio","Sivi","Radikon",2022,10,19.20 €,56.00 €,,,
"WHITE","BOTTLE","MAG","Pinot Grigio","Pinot Grigio","Lageder",2023,0,9.45 €,32.00 €,,,
"WHITE","BOTTLE","D2","Ribolla Gialla","Rebula Blu","Nando",2021,10,12.43 €,41.00 €,,,
"WHITE","BOTTLE","D2","Ribolla Gialla","Gravner","Gravner",2015,6,50.00 €,112.00 €,,,
"WHITE","BOTTLE","D1","Ribolla Gialla","Damijan","Damijan Podversic",2018,5,25.00 €,64.00 €,,,
"WHITE","BOTTLE",,"Riesling","Riserva","Famiglia Roeno",2012,2,20.20 €,54.00 €,,,
"WHITE","BOTTLE","A3","Riesling","Smaragd","E. Knoll",2018,1,36.50 €,85.00 €,,,
"WHITE","BOTTLE","A3","Riesling","Smaragd","E. Knoll",2023,9,47.50 €,98.00 €,,,
"WHITE","BOTTLE","A1","Riesling","Marienburg","Clemens Busch",2017,2,28.90 €,82.00 €,,,
"WHITE","BOTTLE","A1","Riesling","Marienburg","Clemens Busch",2021,12,32.00 €,82.00 €,,,
"WHITE","BOTTLE","A1","Riesling","Schiefergestein","Schäfer-Fröhlich",2020,11,23.40 €,58.00 €,,,
"WHITE","BOTTLE","MAG","Riesling","Vom Schiefer","Clüsserath",2021,14,12.50 €,39.00 €,,,
"WHITE","BOTTLE","A2","Riesling","Kalkofen","Von Winning",2019,4,33.60 €,82.00 €,,,
"WHITE","BOTTLE","A2","Riesling","Kalkofen","Von Winning",2020,12,33.60 €,82.00 €,,,
"WHITE","BOTTLE","A3","Riesling","Kirchberg","Heymann- Löwenstein",2022,10,33.00 €,78.00 €,,,
"WHITE","BOTTLE","MAG","Rosato Ampeleia",,"Ampeleia",2021,2,12.60 €,38.00 €,,,
"WHITE","BOTTLE","B3","Sauvignon","Flora Cellar Reserve","Girlan",2012,2,33.70 €,86.00 €,,,
"WHITE","BOTTLE","MAG","Sauvignon","Porphyr & Kalk","Niedrist",2022,15,16.10 €,43.00 €,,,
"WHITE","BOTTLE","C2","Sauvignon","Lafoa","K. Schreckbichl",2022,24,19.40 €,51.00 €,,,
"WHITE","BOTTLE","B5","Sauvignon","20-21","Roberto Ferrari","20-21",12,28.50 €,72.00 €,,,
"WHITE","BOTTLE","B5","Sauvignon","18-19-20 Pulsar","Roberto Ferrari","18-19-20",3,28.50 €,72.00 €,,,
"WHITE","BOTTLE",,"Sauvignon","LUI XX","A. Lageder",2020,2,15.00 €,48.00 €,,,
"WHITE","BOTTLE","A5","Sauvignon","Pouilly Fumé En Travertin","D. Henri Bourgeois",2022,6,18.15 €,52.00 €,,,
"WHITE","BOTTLE","MAG","Sauvignon","DOC","Wassererhof",2021,0,11.80 €,38.00 €,,,
"WHITE","BOTTLE","A4","Sauvignon Blanc","Sancerre Blanc Le Pierrier","Thomas & Fills",2022,1,19.80 €,52.00 €,,,
"WHITE","BOTTLE","E1","Timorasso Bianco frizz","Mec L'è?","Nebraie",2019,15,13.00 €,38.00 €,,,
"WHITE","BOTTLE","B1","Verdicchio","Campo delle Oche","Fattoria San Lorenzo",2020,1,14.60 €,43.00 €,,,
"WHITE","BOTTLE",,"Verdicchio","Il San Lorenzo","Fattoria San Lorenzo",2008,1,47.50 €,102.00 €,,,
"WHITE","BOTTLE","MAG","Vermentino ","Foresto","La Ricolla",2023,12,22.00 €,48.00 €,,,
"WHITE","BOTTLE","MAG","Bianchetta","Ninte de Ninte","La Ricolla",2023,6,23.00 €,51.00 €,,,
"WHITE","BOTTLE","MAG","Vermentino ","Solole","Poggio al TesoroBolgheri",2023,18,13.50 €,42.00 €,,,
"WHITE","BOTTLE","MAG","Vitovska","Vitovska","Zidarich",2022,6,16.00 €,52.00 €,,,
"WHITE","BOTTLE","MAG","Vitovska","Vitovska Collection","Zidarich",2009,1,44.00 €,102.00 €,,,
"WHITE","BOTTLE","MAG","Vitovska","Vitovska Collection","Zidarich",2016,5,49.00 €,106.00 €,,,
"WHITE","BOTTLE","MAG","Vitovska ","Kamen","Zidarich",2021,15,25.50 €,68.00 €,,,
"WHITE","BOTTLE","C5","Vitoska","Origine","Vodopivec",2019,18,31.00 €,78.00 €,,,
"WHITE","BOTTLE","MAG","Weissburgunder","Kristallberg","E. Walch",2022,18,15.70 €,44.00 €,,,
"WHITE","BOTTLE","MAG","Weissburgunder","Vigneti delle Dolomiti","Patrick Uccelli","2021/22",7,22.40 €,56.00 €,,,
"WHITE","BOTTLE","MAG","Weissburgunder","Solt","St. Quirinus",2023,6,12.30 €,36.00 €,,,
"WHITE","BOTTLE",,"Zibibbo","Integer Zibibbo","De Bartoli",2018,6,17.40 €,44.00 €,,,
,"BOTTLE",,,,,,,,,,,
,"BOTTLE",,"Champagne ","Blanc de Blanc Millesime","Bruno Paillard",2013,2,78.00 €,148.00 €,,,
,"BOTTLE",,"Champagne ","Dosage Zero","Bruno Paillard",,13,43.00 €,71.00 €,,,
,"BOTTLE",,"Champagne ","Blanc de Blanc Brut","Claude Michez",,12,28.00 €,68.00 €,,,
,"BOTTLE",,"Champagne","Grand Cru Extra Brut","Crete Chamberlin",2017,14,39.00 €,96.00 €,,,
,"BOTTLE",,"Champagne","Pinot Noir Brut D'Eulalie","Edouard Duval",,24,36.00 €,84.00 €,,,
,"BOTTLE",,"Champagne","Vintage","Dom Perignon",2013,6,125.50 €,330.00 €,,,
,"BOTTLE",,"Champagne","Blan de Blan Gran Cru","Fernand Thill",2022,3,34.30 €,79.00 €,,,
,"BOTTLE",,"Champagne ","Ruinart","Ruinart",,8,38.80 €,96.00 €,,,
,"BOTTLE",," Champagne ","Blanc du Blanc Nature","Laherte Frères",,10,37.00 €,86.00 €,,,
,"BOTTLE",,"Champagne ","Extra Brut","Lucas Cretol",,18,26.30 €,64.00 €,,,
,"BOTTLE",,,,,,,,,,,
,"BOTTLE",,"Franciacorta Brut","Doppio Erredi ","Derbusco",,20,16.20 €,46.00 €,,,
,"BOTTLE",,"Franciacorta Brut","La Capinear","Vigneti Cenci",,26,15.00 €,44.00 €,,,
,"BOTTLE",,"Prosecco Extra Dry Serrai","Serrai","La Tordera",,180,7.85 €,29.50 €,,,
,"BOTTLE",,"Spum Lambrusco ","Ancestrale","Bellei",,14,9.00 €,29.00 €,,,
,"BOTTLE",,"Spumante","MUS XXIII","A. Lageder",2023,2,15.00 €,48.00 €,,,
,"BOTTLE",,"Spumante","Brut Rosé","Quirinus",,20,18.90 €,51.00 €,,,
,"BOTTLE",,"Spumante","Trento Doc Blauwal","Cesconi",,0,15.90 €,46.00 €,,,
,"BOTTLE",,"Spumante Rose","Sur Lies","Lispida H",2017,2,15.95 €,44.00 €,,,
,"BOTTLE",,"Spumante Phineas","Arunda","J. Reiterer",,8,50.00 €,108.00 €,,,
,"BOTTLE",,"Spumante Brut","Arunda","J. Reiterer",,60,18.80 €,52.00 €,,,
,"BOTTLE",,"Spumante Brut Nature","Cuvée 36","Casa Caterina",2018,9,18.50 €,51.00 €,,,
,"BOTTLE",,"Spumante Brut","Lamm","Winkler",,5,28.10 €,68.00 €,,,
,"BOTTLE",,"Spumante P.N. extra brut","Farfalla","Ballabio",,18,18.70 €,52.00 €,,,
,"BOTTLE",,"Trento doc extra Brut","Vent","Toblino",2020,24,14.90 €,42.00 €,,,
,"BOTTLE",,"Spumante Bio","Poiré Fermier De Normandie","Domaine Olivier",,8,6.90 €,32.00 €,,,
"RED","BOTTLE","I5","Alicante Nero Bio","Alicante","Ampeleia",2021,20,14.90 €,44.00 €,,,
"RED","BOTTLE","H4","Amarone","Valmezzane","Corte Sant'Alda",2016,8,42.00 €,96.00 €,,,
"RED","BOTTLE","H5","Barolo","Ginestra","Conterno Fantino",2019,2,47.90 €,104.00 €,,,
"RED","BOTTLE","H5","Barolo","Cerretta Dogc","Giovanni Rosso",2018,1,39.00 €,108.00 €,,,
"RED","BOTTLE","H5","Barolo","Cerretta Dogc","Giovanni Rosso",2019,12,51.00 €,108.00 €,,,
"RED","BOTTLE","H5","Barolo","Serra","Giovanni Rosso",2020,6,51.00 €,108.00 €,,,
"RED","BOTTLE","H5","Barolo","Serra","Giovanni Rosso",2019,3,51.00 €,108.00 €,,,
"RED","BOTTLE","H5","BArolo","Mosconi","Parusso",2019,6,64.00 €,132.00 €,,,
"RED","BOTTLE",,"Barolo Riserva","Bricco delle Viole ","460 Casina Bric",2015,3,30.00 €,72.00 €,,,
"RED","BOTTLE","H5","Barolo","Bricco Boschis","Cavallotto",2020,8,54.00 €,112.00 €,,,
"RED","BOTTLE",,"Barolo","Aeroplanservaj","Clerico",2019,1,54.00 €,114.00 €,,,
"RED","BOTTLE",,"Blaufränkisch","Bertholdi","Gut Oggau",2015,6,74.50 €,160.00 €,,,
"RED","BOTTLE","I4","Brunello di Montalcino",,"La Fiorita",2018,1,26.50 €,66.00 €,,,
"RED","BOTTLE","I4","Brunello di Montalcino","Podernovi","San Polo",2019,22,75.00 €,154.00 €,,,
"RED","BOTTLE",,"Callejo","Felix","Callejo",2018,2,84.15 €,182.00 €,,,
"RED","BOTTLE","MAG","Cabernet","Istrice ","E. Walch",2022,12,16.25 €,44.00 €,,,
"RED","BOTTLE","MAG","Cabernet Franc","Chinon","Les Athletes du vin",2021,18,10.30 €,42.00 €,,,
"RED","BOTTLE",,"Cab. Franc e Cab Sauv","Poggio alle Nane","Antinori Le Mortelle",2021,9,39.00 €,88.00 €,,,
"RED","BOTTLE","F2","Cabernet Merlot Ris","Arzio","Baron di Pauli",2020,6,25.00 €,68.00 €,,,
"RED","BOTTLE",,"Cabernet Merlot","Aufhof","Baron Widman",2022,0,25.50 €,68.00 €,,,
"RED","BOTTLE","MAG","Cabernet Merlot","Staffelfeld ROT","Baron Widman",2021,30,17.00 €,46.00 €,,,
"RED","BOTTLE","MAG","Cabernet Merlot","Curtis","K. Kurtatsch",2022,15,9.30 €,32.00 €,,,
"RED","BOTTLE","MAG","Cabernet Sauvignon","Campaner","K. Kaltern",2020,6,11.50 €,36.00 €,,,
"RED","BOTTLE","F2","Cuvee","Kermesse","E. Walch",2021,18,33.85 €,78.00 €,,,
"RED","BOTTLE","F2","Cuvee","Kermesse","E. Walch",2019,12,30.80 €,78.00 €,,,
"RED","BOTTLE","MAG","Cuvee","Athos Rosso","Dolomytos",2018,3,27.00 €,74.00 €,,,
"RED","BOTTLE","MAG","Cuvee","Castel Campan","Manincor",2021,6,62.00 €,132.00 €,,,
"RED","BOTTLE","D3","Cuvee","Riflesso Rosi ","Eugenio Rosi",2021,7,7.40 €,29.00 €,,,
"RED","BOTTLE","D3","Cuvee","Riflesso Rosi ","Eugenio Rosi",2022,34,8.90 €,29.00 €,,,
"RED","BOTTLE","G2","Cuvee","La Grola","Allegrini",2020,22,15.00 €,44.00 €,,,
