"type","full_data"
"RED","544. Riserva Praun 2020 KG. Bozen 0,75 lt. € 55,00"
"RED","545. Riserva Siebeneich 2021 Schreckbichl-Colterenzio 0,75 lt. € 49,00 "
"RED","546.	Riserva Lona 2019 KG. St. Pauls	0,75 lt.	€	99,00"
"RED","539. Riserva Gant 2021 KG. Andrian 0,75 lt. € 85,00"
"RED","531. Merlot 2022 Schreckbichl-Colterenzio 0,75 lt. € 35,00 / 6,00"
"RED","547. Il Conte 2022 Manincor Bio (L, M, CS) 0,75 lt. € 45,00/ 7,50"
"RED","542.	Lehm& Kies 2020 Untermoserhof, Ramoser (M,CF)	0,75 lt.	€	55,00"
"RED","548. Lacus 2020 W. Schullian (CF,M) 0,75 lt. € 85,00"
"RED","549. Cor Römigberg 2015 Alois Lageder Bio (CS, PV) 0,75 lt. € 89,00"
"RED","550.	Iugum 2018 Dipoli (M, CS)	0,75 lt.	€	75,00"
"RED","551. Grande Cuvee Kermesse 2020/21 E. Walch (CS, M, L, PV, SY) 0,75 lt. € 85,00"
"RED","552.	Loam 2019 KG. Tramin (CS, M)	0,75 lt.	€	75,00"
"RED","553. Frauenriegel 2019 Dipoli (M, CF) 0,75 lt. € 85,00"
"RED","554. Arzio 2020 Baron di Pauli (M, CS, CF) 0,75 lt. € 79,00"
"RED","555. Brenntal 2018 Dipoli (CF,M) 0,75 lt. € 115,00"
"RED","556. Cornelius Rosso 2020 Schreckbichl-Colterenzio (M, CS) 0,75 lt. € 65,00"
"RED","557. Anticus Riserva Baron Salvadori 2019 KG. Nals (M, CS) 0,75 lt. € 65,00"
"RED","558. Marzemino 2022 Simoncelli 0,75 lt. € 30,00"
"RED","559. Navesel 2020 Simoncelli (M, CF, CS) 0,75 lt. € 39,00"
"RED","560. Teroldego 2022 Foradori 0,75 lt. € 45,00"
"RED","561. Rosso Faye Vigneto Paradisot 2017 Pojer & Sandri (CS, CF, M, L) 0,75 lt. € 65,00"
"RED","562. San Leonardo 2015 San Leonardo (M, CS) 0,75 lt. € 105,00"
"RED","563. Granato 2019 Foradori (Teroldego) 0,75 lt. € 85,00"
"WHITE","564. Soave Classico Superiore Calvarino 2021 Pieropan Bio 0,75 lt. € 50,00"
"RED","601. Valpolicella Ca Fiui 2021 Corte Sant Alda Bio 0,75 lt. € 35,00"
"RED","602. Valpolicella Classico Ripasso 2020 Le Ragose 0,75 lt. € 41,00"
"RED","604. Amarone della Valpolicella 2012 Bertani 0,75 lt. € 139,00 "
"RED","605. Amarone della Valpolicella Valmezzane 2013   Corte Sant Alda Bio 0,75 lt. € 95,00 "
"RED","606. Amarone della Valpolicella Ravazzol 2018 Ca la Bionda 0,75 lt. € 105,00/17,50"
"RED","601. Mithas Valpolicella Superiore 2015 Corte Sant Alda Bio 0,75 lt. € 85,00"
"RED","607. Valpolicella Superiore 2016 Romano Dal Forno 0,75 lt. € 180,00"
"RED","608. Amarone della Valpolicella 2012/13 Romano Dal Forno 0,75 lt. € 450,00"
"RED","612. Amarone della Valpolicella 2012 Quintarelli 0,75 lt. € 450,00"
"RED","613. Rosso del Pepi 2010 Quintarelli (Co,Ro,CS,N) 0,75 lt. € 180,00"
"WHITE","609. Vintage Tunina 2018/21 Jermann (SB, CH, RG, MI, PIC) 0,75 lt. € 90,00"
"WHITE","610.	Chardonnay Gaia & Rey 2018 Gaja	0,75 lt.	€	330,00"
"RED","700. Barbera d’Alba Bricco del Pilone 2021 Benevelli 0,75 lt. € 39,00"
"RED","701. Barbera d’Alba 2021 Burlotto 0,75 lt. € 39,00"
"RED","703. Langhe Nebbiolo 2018 G.D. Vajra  0,75 lt. € 39,00"
"RED","705. Barbaresco 2015 Pio Cesare 0,75 lt. € 95,00"
"RED","706. Barbaresco Rabaja 2018 Bruno Rocca 0,75 lt. € 135,00"
"RED","707. Barbaresco Rabaja 2015 Giuseppe Cortese 0,75 lt. € 65,00"
"RED","708. Barbaresco Gaiun Martinenga 2010 Marchesi di Gresy 0,75 lt. € 125,00"
"RED","709. Barbaresco Riserva Camp Gros Martinenga 2014  Marchesi di Gresy 0,75 lt. € 180,00"
"RED","713. Barbaresco Martinenga 2015 Marchesi di Gresy 0,75 lt. € 75,00"
"RED","710. Barbaresco 2017/20 Gaja 0,75 lt. € 330,00"
"RED","697. Barbaresco Asili 2019 Ca del Bajo 0,75 lt. € 75,00"
"RED","711. Barolo 2019 Briccolina 0,75 lt. € 95,00"
"RED","712. Barolo 2018 Burlotto 0,75 lt. € 100,00"
"RED","715. Barolo Sori Ginestra 2010 Conterno Fantino 0,75 lt. € 145,00"
"RED","716. Barolo Ciabot Mentin Ginestra 2008 Domenico Clerico 0,75 lt. € 145,00"
"RED","717. Barolo Ornato 2015 Pio Cesare 0,75 lt. € 145,00"
"RED","718. Barolo 2016 Pio Cesare 0,75 lt. € 95,00"
"RED","699. Barolo Brunate 2016 Ceretto Bio 0,75 lt. € 205,00"
"RED","698. Barolo Castiglione 2019 Vietti Bio 0,75 lt. € 95,00 /17,00"
"RED","719. Barolo Cerequio 1998 Roberto Voerzio 0,75 lt. € 300,00"
"RED","720. Barolo Cannubi Boschis 1997 Sandrone 0,75 lt. € 350,00"
"RED","721. Barolo Ris. Monfortino 1993 Giacomo Conterno 0,75 lt. € 1800,00"
"RED","722. Monprá 2015 Conterno Fantino (NE, BA, CS) 0,75 lt. € 55,00"
"RED","724. Darmagi 1995 Gaja (CS) 0,75 lt. € 350,00"
"RED","801. Rosso di Montalcino 2019 Lisini 0,75 lt. € 45,00"
"RED","802. Brunello di Montalcino Riserva 2012 Capanna 0,75 lt. € 160,00"
"RED","803. Brunello di Montalcino 2018 Lisini  0,75 lt. € 75,00"
"RED","804. Brunello di Montalcino Riserva 2010 Costanti 0,75 lt. € 250,00"
"RED","805. Brunello di Montalcino Ugolaia 2013 Lisini 0,75 lt. € 125,00"
"RED","806. Brunello di Montalcino Il Greppo 2010 Biondi Santi 0,75 lt. € 350,00"
"RED","807. Brunello di Montalcino Riserva Il Greppo 2004 Biondi-Santi 0,75 lt. € 750,00"
"RED","808. Brunello di Montalcino 2018 Collosorbo 0,75 lt. € 70,00 / 12,00"
"RED","812. Brunello di Montalcino Riserva 2013 Piancornello 0,75 lt. € 105,00"
"RED","809. Montevertine 2019 Montevertine 0,75 lt. € 105,00"
"RED","810. Chianti Classico Riserva Berardenga 2018/19 Felsina 0,75 lt. € 55,00"
"RED","811. Chianti Rufina Riserva Vecchie Viti 2018 Frescobaldi 0,75 lt. € 45,00"
"RED","800. Chianti Classico Gran Selezione Rialzi 2019 Perano 0,75 lt.  € 69,00"
"RED","813. Morellino di Scansano Riserva 2019 Moris Farms  0,75 lt. € 55,00"
"RED","814. Vino Nobile di Montepulciano 2019 Poliziano 0,75 lt. € 49,00"
"RED","816. Syrah Collezione Privata 2015/18 Isole & Olena 0,75 lt. € 95,00"
"RED","817. Vigna L’Apparita 2004 Castello di Ama (M) X0,75 lt. € 250,00"
"RED","818.	Lamaione 2016 Frescobaldi (M)	0,75 lt.	€	92,00"
"RED","840.	Avvoltore 2018  Moris Farms (SG, CS, M, SY)	0,75 lt.	€	89,00"
"RED","845.	Lucente 2020 Frescobaldi (SG,M)	0,75 lt.	€	49,00"
"RED","842. Cabreo Il Borgo 2019 Cabreo (CS, CF, M,) 0,75 lt. € 75,00"
"RED","819. Le Serre Nuove 2020 Ornellaia (M, CS, PV, CF) 0,75 lt. € 85,00"
"RED","820. Magari 2015 Ca Marcanda, Gaja (M, CS) 0,75 lt. € 85,00"
"RED","821. Il Pino di Biserno 2021 Tenuta di Biserno (CF, M, CS, PV) 0,75 lt. € 85,00"
"RED","822. Fontalloro 2009 Felsina (SG) 0,75 lt. € 75,00"
"RED","823. Mormoreto 2015 Frescobaldi (CS, M, CF, PV) 0,75 lt. € 92,00"
"RED","824. Cepparello 2016 Isole & Olena (SG) 0,75 lt. € 150,00"
"RED","825. Masseto 2014 Tenuta Massetto (M) 0,75 lt. € 1005,00"
"RED","827. Le Pergole Torte 2019 Montevertine 0,75 lt. € 245,00"
"RED","828. Luce della Vite 2014 Frescobaldi (SG, M) 0,75 lt. € 165,00"
"RED","829. Tignanello 2021 Antinori (SG, CS, CF) 0,75 lt. € 215,00"
"RED","830. Vigna d’Alceo 2000 Castello dei Rampolla (CS) 0,75 lt. € 205,00"
"RED","831. Ornellaia 2009 Tenuta dell’Ornellaia (CS, M, CF, PV) 0,75 lt. € 380,00"
"RED","832. Sassicaia 2000 Tenuta San Guido (CS, CF) 0,75 lt. € 450,00"
"RED","838. Lodovico 2013 Tenuta di Biserno (CF, M, CS) 0,75 lt. € 700,00"
"RED","839. Biserno di Biserno 2021 Tenuta di Biserno (CF, M, CS, PV) 0,75 lt. € 250,00"
"RED","841. Lux Vitis 2018/19 Frescobaldi (CS, SG) 0,75 lt. € 250,00"
"RED","843. Cabernet Sauvignon Collezione Privata 2015 Isole & Olena 0,75 lt. € 150,00"
"RED","844. Opera Omnia 2015 La Madonnina (CS, CF) 0,75 lt. € 115,00"
"RED","833. Turriga 2017 Argiolas  (Cannonau, Carignano, Bobal, Malvasia Nera) 0,75 lt. € 120,00 "
"RED","900. Ghirada Cara Gonare Barbagia Rosso 2019 Teularju  (Cannonau, Carignano) 0,75 lt. € 95,00"
"WHITE","834. Chardonnay Contea di Sclafani Tenuta Regeleali 2021  Tasca d’Almerita 0,75 lt. € 75,00"
"RED","835. Tascante 2014 Tasca d’Almerita (Nerello M.) 0,75 lt. €  49,00"
"RED","836. Rosso del Conte 2016 Tasca d’Almerita 0,75 lt. € 65,00"
"RED","837. Cabernet Sauvignon Vigna S. Francesco  Tenuta Regeleali 2019 Tasca d’Almerita 0,75 lt. € 67,00 "
,"901. Riesling Trocken GG Hermannshöhle 2019 Dönnhof, Nahe 0,75 lt. € 130,00"
,"905. Riesling Graacher Domprobst Auslese 2006  Willy Schäfer, Mosel (lieblich, dolce, sweet) 0,75 lt. € 170,00"
,"906. Riesling Limestone 2020/21 Keller, Rheinhessen 0,75 lt. € 45,00"
,"907. Grüner Veltliner Smaragd Achleiten 2022 Jäger,  Wachau 0,75 lt. € 69,00"
,"908. Sauvignon Blanc Grassnitzberg 2018 Tement STMK Bio 0,75 lt. € 55,00"
,"911. Sauvignon Blanc Kapellenweingarten 2020 Sattlerhof STMK 0,75 lt. € 70,00"
,"909. Riesling Smaragd Achleiten 2016 Domaine Wachau 0,75 lt. € 65,00"
,"910. Riesling Smaragd Ried Loibenberg 2020 E. Knoll,Wachau 0,75 lt. € 95,00"
,"912. Riesling Smaragd Dürnsteiner Kellerberg 2021   F.X. Pichler Wachau 0,75 lt. € 150,00 "
,"913. Blaufränkisch Leithaberg 2018 Heinrich, Gols Bio 0,75 lt. € 59,00"
,"914. St. Laurent Grande Reserve 2000  Johanneshof, Reinisch, Tattendorf 0,75 lt. € 49,00"
,"915.	Marques de Caceres Reserva 2017 Marques de Caceres, Rioja	0,75 lt.	€	55,00"
,"920. Tinto Pesquera Reserva 2016/19 A. Fernandez, Ribera del Duero 0,75 lt. € 80,00"
,"916. Manoella Tinto 2021 Wine & Soul, Douro Cima Corgo (TN,TF,TR) 0,75 lt. € 45,00"
,"941. Chardonnay 2015 Gantenbein  0,75 lt. € 400,00"
,"942. Pinot Noir 2015 Gantenbein 0,75 lt. € 400,00"
,"917.	Kopàr 1999 Gere, Villàny (CF, M CS)	0,75 lt.	€	120,00"
,"918. Solus 2002 Gere, Villàny (M) 0,75 lt. € 120,00"
,"919. Merlot 2017 Casa Lapostolle 0,75 lt. € 39,00"
,"921. Malbec Riserva 2019 Altos Las Hormigas 0,75 lt. € 55,00"
,"922. Pinotage 2020 Aaldering 0,75 lt. € 75,00"
,"923. Shiraz Kalimna Bin 28 2020 Penfolds 0,75 lt. € 75,00"
,"924.	Sauvignon Blanc 2019 Palliser Estate	0,75 lt.	€	49,00"
,"996. Te Koko (SB) 2019/21 Cloudy Bay 0,75 lt. € 95,00"
,"997. Te Wahi (PN) 2016/19 Cloudy Bay 0,75 lt. € 125,00"
,"925. Viognier Yarden 2017 Golan Heights Winery 0,75 lt. € 39,00"
,"920. Pinot Noir Gamla 2019 Golan Heights Winery 0,75 lt. € 39,00"
,"928.	Cabernet S. Res. Knights Valley 2018 Beringer	0,75 lt.	€	90,00"
,"998. Ramnista (Xinomavro) 2015/19 Kir Yianni Naoussa  0,75 lt. € 55,00"
,"930. Chateau Musar Red 2016 Chateau Musar  (CS, Cinsault, Grenache) 0,75 lt. € 85,00"
,"999. Ao Yun 2014 Adong Yunnan (CS,CF) 0,75 lt. € 350,00"
,"931.	Riesling Grand Cru Henriette 2020 Mochel	0,75 lt.	€	59,00"
,"970. Riesling Estate 2019 Hugel                                                                              0,75 lt. € 59,00"
,"932. Gewürztraminer Grand Cru 2018  Mochel, (lieblich, dolce, sweet) 0,75 lt. € 59,00"
,"933. Pouilly Fume 2022 De Ladoucette  0,75 lt. € 65,00"
,"998. Baron de L 2019 De Ladoucette  0,75 lt. € 140,00"
,"934. Sancerre 1 er Cru Clos Du Roy 2022 Pascal Jolivet 0,75 lt. € 85,00"
,"935. Savennieres La Roche Aux Moines 2010 Dom. Aux Moines 0,75 lt. € 55,00"
,"936. Chablis Saint Pierre 2022 Dom. Albert Pic  0,75 lt. € 59,00"
,"993. Chablis 1er Cru Fourchaume 2022 Dom. Fevre  0,75 lt. € 75,00"
,"937. Macon Verze 2021 Dom. Leflaive Bio 0,75 lt. € 77,00"
,"946. Corton Charlemagne 2017 Louis Latour 0,75 lt. € 320,00"
,"939. Chassagne-Montrachet 1-er Cru Morgeot 2017  Dom. Vincent Girardin 0,75 lt. € 225,00"
,"940.	Montrachet Grand Cru 2010/15 Dom. J. Prieur	0,75 lt.	€	1600,00"
,"929. Bourgogne Blanc Les Setilles 2020 O. Leflaive Bio 0,75 lt. € 85,00"
,"959. Arbois Blanc 2016 Dom. Du Pelican (CH) 0,75 lt. € 69,00"
,"944. Morgon 2018 Ch.des Jacques 0,75 lt. € 45,00"
,"945. Gevrey-Chambertin Vielle Vignes 2020 Rossignol - Trapet 0,75 lt. € 115,00"
,"943.	Gevrey-Chambertin Vielle Vignes 2018/20 Dom. Laurent	0,75 lt.	€	150,00"
,"948. Corton Languettes 1989 Dom. Voarick 0,75 lt. € 150,00"
,"949. Nuits-Saint-Georges Les Fleurieres 2018 Dom J. J. Confuron 0,75 lt. € 125,00"
,"950. Fixin 2019 Dom. Meo Camuzet 0,75 lt. € 125,00"
,"992. Nuits-Saint-Georges 1-er Cru Les Cras 2015   Dom. du Comte Liger Belair 0,75 lt. € 2500,00"
,"991. Vosne-Romanee 2019 Dom. du Comte Liger Belair 0,75 lt. € 1200,00"
,"993.	Vosne-Romanee Vielles Vignes 2002 Dom. Bizot	0,75 lt.	€	1500,00"
,"952. Clos de la Roche Grand Cru 1990 Dom. Armand Rousseau 0,75 lt. € 2500,00"
,"994. Clos de la Roche Grand Cru 2015 Dom. Jadot 0,75 lt. € 450,00"
,"953. Beaune 1-er Cru Vignes de L`Enfant Jesus 2012  Dom. Bouchard Père et Fils 0,75 lt. € 210,00"
,"954. Volnay 1-er Cru Le Fremiets 2010 Dom. D Angerville 0,75 lt. € 210,00"
,"955. Volnay 1-er Cru Clos des Ducks 2010 Dom. D Angerville  0,75 lt. € 550,00"
,"956. Clos-Vougeot Grand Cru Château de la Tour  Vielles Vignes 2006 J. Labet & N. Dechelette 0,75 lt. € 400,00"
,"995. Santenay 1-er Cru Le Beuregard 2017/20 V. Girardin 0,75 lt. € 105,00"
,"965. Clos Floridene Blanc 2017 Graves Denis Dubourdieu (SB,SEM,M)  0,75 lt. € 55,00"
,"966.  Le Petit Château Smith Haut Lafitte Blanc 2019 (SB,SEM,) Pessac L. 0,75 lt. € 90,00"
,"982. Château Smith Haut Lafitte Blanc 2020 Pessac L.(SB,SEM)  0,75 lt. € 350,00"
,"967. Château Batalley 2007 Pauillac Grand Cru Classe Magnum 1,50 lt. € 250,00 "
,"968. Château Margaux 1991 Margaux Grand Cru Classe Magnum 1,50 lt. € 2500,00"
,"971. Château Le Boscq 2020 St. Estephe Cru Bourgeois Superieur 0,75 lt.  € 80,00"
,"972. Château Pojeaux 2015 Moulis Cru Bourgeois 0,75 lt.  € 89,00"
,"973. Château Brane Cantenac 2018 Margaux Grand Cru Classe 0,75 lt. € 175,00"
,"973. Château Cantenac Brown 2018 Margaux Grand Cru Classe 0,75 lt. € 175,00"
,"974. Château Palmer 2006/2007 Margaux 0,75 lt. € 450,00"
,"975. Château de Pez 2016  St. Estephe Cru Bourgeois Exceptionelle 0,75 lt. € 85,00"
,"977. Château Phelan Segur 2016 St. Estephe 0,75 lt. € 160,00"
,"976. Château Talbot 2016 St. Julien 0,75 lt. € 185,00"
,"983. Essence de Dourthe 2015  0,75 lt. € 260,00"
,"984. Château Lafon Rochet 2015 St. Estephe Grand Cru Classe 0,75 lt. € 125,00"
,"985. Château La Pointe 2016 Pomerol 0,75 lt. € 135,00"
,"986. Château Chasse Spleen 2019 Moulis Cru Bour. Exceptionelle 0,75 lt. € 105,00"
,"987. Château Pichon- Longueville au Baron 2018 Pauillac 0,75 lt. € 360,00"
,"969. Château Grand Corbin Despagne 2015/16 St Emilion Grand Cru Classe 0,75 lt. € 105,00"
,"979. Château Ampeleia 2016 Castillon Cotes de BDX 0,75 lt. € 50,00"
,"990. Château Haut Brion 1989 Pessac Leognan Grand Cru Classe 0,75 lt. € 3000,00"
,"978. Cote Rotie La Turque 1992 E. Guigal 0,75 lt. € 500,00"
,"978. Cote Rotie La Mouline 1992 E. Guigal 0,75 lt. € 500,00"
,"980. Cote-Rotie Les Rochaines 2004/05 Bonnefond 0,75 lt. € 69,00"
,"980. Cote-Rotie 2000 Bonserine 0,75 lt. € 69,00"
,"981. Chateauneuf du Pape Rouge 2019 Ch. le Nerthe 0,75 lt. € 120,00"
,"988. Chateauneuf du Pape Rouge Tradition 2018/21  Domaine de La Solitude 0,75 lt. € 75,00"
,"982.	Chateau Montus Cuvee Prestige 1996 Alain Brumont	0,75 lt.	€	49,00"
,"957. Marsala Superiore Riserva Oro Dolce  Bip Benjamin 2013 Pellegrino 0,75 lt. € 45,00 / 8,00"
," Marsala Superiore Rubino Dolce Uncle Joseph 2015 Pellegrino 0,75 lt. € 45,00 / 8,00"
,"958. Almacenista Fino del Puerto Jose Luis Gonzalez Obregon Solera Sherry Emilio Lustau 0,50 lt. € 45,00 / 8,00"
,"958.	Alvear Medium Dry Montilla Morilles	0,75 lt.	€ 45,00 / 8,00"
,"920. Madeira Bual 5 Years Old Cossart Gordon 0,50 lt. € 45,00 / 8,00"
,"960. Late Bottled Vintage 2018 Ramos Pinto 0,75 lt. € 55,00"
,"961. Vintage Port 1997 Quinta De La Rosa 0,75 lt. € 95,00"
," 10 Years Ramos Pinto Quinta De Ervamoira                                             0,75 lt. € 95,00"
,"962. Porto Colheita 1987 Niepoort 0,75 lt. € 95,00"
,"963.	Porto Ruby Ramos Pinto	0,75 lt.	€ 45,00 / 8,00"
,"964.	Manoella White Port 10 Years Wine & Soul	0,75 lt.	€ 65,00"
,"964.	Porto Vintage 2015  Wine & Soul	0,75 lt.	€ 200,00"
,"1000. Riesling Spätlese 2015 Taschlerhof 0,375 lt. € 55,00"
,"1001. Vinalia Goldmuskateller 2019 KG. Bozen 0,375 lt. € 65,00"
,"1003. Rosenmuskateller Moscato Rosa 2023 Franz Haas 0,5 lt. € 60,00"
,"1004. Roen 2019 KG. Tramin 0,375 lt. € 55,00 / 12,50"
,"1005. Gewürztraminer Terminum 2005 KG. Tramin 0,375 lt. € 90,00"
,"1012.	Passithea Oro 2019 KG. Girlan	0,375 lt.	€	60,00"
,"1006. Serenade Passito Quintessenz 2015 Kellerei Kaltern 0,375 lt. € 65,00"
,"1007.	Kerner Praepositus Passito 2020 Abtei Neustift	0,375 lt.	€	55,00"
,"1014. Cantus 2017 KG. Schreckbichl 0,375 lt. € 55,00"
,"1008. Merlino 07/93 Pojer & Sandri 0,500 lt. € 45,00 / 12,50"
,"1009. Vin Santo 2007 Isole & Olena 0,375 lt. € 65,00"
,"1011. Moscato D’Asti 2022 Saracco 0,750 lt. € 39,00 / 7,00"
,"1013.	Passito di Pantelleria Naturale NES 2017 Pellegrino	0,500 lt.	€ 72,00 / 12,50"
,"1110. Château Guiraud 2005 Sauternes Grand Cru Classe 0,375 lt. € 65,00"
,"1111. Château Rieussec 2005 Sauternes Grand Cru Classe 0,375 lt. € 79,00"
,"1216. Château Filhot 2013 Sauternes 0,375 lt. € 45,00"
,"1112. Château Farluret 2015 Sauternes 0,750 lt. € 45,00/ 12,50"
,"1201. Tokaji Aszu 6 Puttonyos 1995 Disznokö 0,500 lt. € 150,00"
,"1202. Tokaji Aszu 6 Puttonyos 1993 Gia 0,500 lt. € 79,00"
,"1203. Tokaji Aszu 6 Puttonyos 1999/2002 Oremus 0,500 lt. € 165,00"
,"1204. Tokaji Aszu 3 Puttonyos 2013 Oremus 0,500 lt. € 75,00/ 12,50"
,"1205. Tokaji Aszu 5 Puttonyos 2006 Oremus 0,500 lt. € 90,00"
,"1206. Tokaji Aszu 6 Puttonyos 1996 Szepsy 0,500 lt. € 350,00"
,"1206. Tokaji Aszu 6 Puttonyos 2008 Szepsy 0,500 lt. € 350,00"
,"1207. Tokaji Esszencia 2000 Disznokö 0,375 lt.  € 599,00"
,"1217.	Tokaji Szamorodni 2013 Szepsy	0,500 lt.	€	150,00"
,"1208. Beerenauslese Cuvee 2017 Kracher 0,375 lt. € 49,00 / 12,50"
,"1209. Ruster Ausbruch Essenz 2004 Feiler-Artinger 0,375 lt. € 61,50"
,"1210. Muskat Ottonel TBA 1998 Velich 0,375 lt. € 59,00"
,"1211. Eiswein 2020 Kracher 0,375 lt. € 79,00"
,"1212. Riesling Eiswein 2001 P.J.Kühn, Rheingau 0,375 lt. € 111,00"
,"905. Riesling Auslese Graacher Domprobst 2006  Willy Schäfer, Mosel 0,750 lt. € 170,00 "
,"1214. Don Zolio Pedro Ximenez Very Sweet Sherry Dolce,  Williams & Humbert Jerez 0,750 lt. € 45,00 / 8,00"
,"1215. Dulce Monastrel 1996 Olivares Jumilla 0,750 lt. € 65,00"
,"Steinbock Sparkling ZERO Hofstätter 0,75 lt. € 35,00"
,"Steinbock Riesling ZERO Hofstätter 0,75 lt. € 35,00"
