type,external_id,name,size,price,vintage,winery
WHITE,1., Cuvee Trias ,"0,75 lt.","€ 49,00",2020, Niedrist
WHITE,2., Terlaner Sauvignon Porphyr&Kalk ,"0,75 lt.","€ 49,00",2021, Niedrist
WHITE,5., Pinot Grigio Vigna Kastel Ringberg ,"0,75 lt.","€ 49,00",2022, Elena Walch
WHITE,6., Flora Cuvee Bianco Riserva ,"0,75 lt.","€ 49,00",2020, KG. Girlan
WHITE,7., Pinot Bianco Platt & Riegl ,"0,75 lt.","€ 35,00",2022, KG. Girlan
WHITE,8., Fontanasanta Nosiola (Anfora) ,"0,75 lt.","€ 55,00",2021, Foradori Bio
WHITE,9., Furmint Dry Mandolas ,"0,75 lt.","€ 45,00",2018, Oremus
WHITE,11., Rkatsiteli (Anfora) ,"0,75 lt.","€ 65,00",2022, Tsarapi
WHITE,12., Lugana Le Crete ,"0,75 lt.","€ 39,00",2023, Otella 
WHITE,13., Heritage Chilar (Anfora),"0,75 lt.","€ 115,00",2020, Zorah 
RED,20., Radici Taurasi Ris. ,"0,75 lt.","€ 75,00",2016, Mastroberardino
RED,21., Vernatsch Gschleier Alte Reben ,"0,75 lt.","€ 45,00",2021, KG. Girlan
RED,22., Primitivo ES ,"0,75 lt.","€ 89,00",2022, Gianfranco Fino
RED,23., Pinot Noir Ris. ,"0,75 lt.","€ 65,00",2019, Niedriest
RED,24., Fervore ,"0,75 lt.","€ 45,00",2017, Terre di Balbia Bio
RED,25., Pinot Noir Hausmannhof ,"0,75 lt.","€ 49,00",2020, Haderburg Bio
RED,26., Cuvee Rot ,"0,75 lt.","€ 49,00",2019, Baron Widmann
RED,27., Linticlarus Cuvee ,"0,75 lt.","€ 76,00",2020, Tiefenbrunner
RED,29., Merlot Brenntal ,"0,75 lt.","€ 75,00",2020, Kellerei Kurtatsch 
RED,30., Syrah La Monaca ,"0,75 lt.","€ 45,00",2020, Sallier de La Tour
RED,31., Pinot Noir ,"0,75 lt.","€ 75,00",2020, Palliser
RED,32.,  Valpolicella Ripasso Campi Magri ,"0,75 lt.","€ 49,00",2019," Corte Sant Alda, Bio"
RED,33., Teroldego Sgarzon (Anfora) ,"0,75 lt.","€ 55,00",2021," Foradori, Bio"
RED,34., Heritage Sireni (Anfora) ,"0,75 lt.","€      115,00",2019, Zorah     
DESSERT,41., Essenzia ,"0,375 lt.","€ 55,00",2019, Pojer & Sandri
DESSERT,42., Recioto di Valpolicella Le Tordare ,"0,500 lt.","€ 55,00",2012, Cà la Bionda
DESSERT,43., Banyuls Leon Parce ,"0,500 lt.","€ 55,00",2019, Dom. de la Rectorie
,101.,  Arunda Brut,"0,375 lt.","€ 39,00",,
,100., Praeclarus Brut,"0,75 lt.","€ 45,00",,
,102., Haderburg Pas Dosé ,"0,75 lt.","€ 65,00 / 12,00",,
,103., Haderburg Pas Dosé,"1,50 lt.","€ 120,00",,
,104.,  Hausmannhof Riserva Brut ,"0,75 lt.","€ 95,00",2011, Haderburg
,105., Valdobbiadene DOCG Extra Dry Coste Ponente Col Vetoraz,"0,75 lt.","€ 39,00",,
,109., Valdobbiadene DOCG Brut Fagher Le Colture,"0,75 lt.","€ 39,00",,
,106., Valdobbiadene DOCG Brut Millesimato Guia Foss Marai,"0,75 lt.","€ 39,00 / 6,50",,
,107., Cartizze DOCG Dry Bortolin,"0,75 lt.","€ 45,00",,
,108., Prosecco Rose Brut DOC Le Colture,"0,75 lt.","€ 39,00",,
,111.,"  Franciacorta DOCG Extra Brut/ Brut Francesco I.,Uberti","0,75 lt.","€ 65,00",,
,112.," Franciacorta DOCG Brut Saten, Bosio","0,75 lt.","€ 65,00 / 12,00",,
,113.,"  Franciacorta DOCG Extra Brut, Comari del Salem,Uberti","0,75 lt.","€ 75,00",,
,114., Franciacorta DOCG Riserva Brut Annamaria Clementi ,"0,75 lt.","€ 215,00",2015, Ca’ del Bosco
,159., Cabochon Fuori Serie 023 Monterossa,"0,75 lt.","€ 95,00 ",,
,120., Perle Brut Millesimato ,"0,75 lt.","€ 69,00 / 12,00",2017, Ferrari
,121., Trento DOC Brut Riserva Methius ,"0,75 lt.","€ 75,00",2017, Dorigati
,122., Trento DOC Brut Riserva Methius ,"1,50 lt.","€ 135,00",2017, Dorigati
,124., Blauwal Riserva Extra Brut ,"0,75 lt.","€ 75,00",2015, Cesconi
,125., Trento DOC Giulio Ferrari Riserva Del Fondatore Brut ,"0,75 lt.","€ 250,00",2008, Ferrari
,99., Trento DOC Giulio Ferrari Riserva Del Fondatore Rose Brut ,"0,75 lt.","€ 400,00",2006, Ferrari
,127., Arunda Excellor Rose Brut,"0,75 lt.","€ 65,00 ",,
,128., Rose Brut Pojer & Sandri,"0,75 lt.","€ 55,00",,
,110., Franciacorta Rose Brut Uberti,"0,75 lt.","€ 65,00",,
,129., Blanquette de Limoux Brut Tradition Antech ,"0,75 lt.","€ 55,00 / 12,00",,
,130., Guy Larmandier Premier Cru Brut,"0,375 lt.","€ 49,00",,
,160., Louis Roederer Brut Collection246 ,"0,375 lt.","€ 65,00",,
,131., Louis Roederer Brut Collection 244,"0,75 lt.","€ 115,00",,
,132., Louis Roederer Blanc de Blancs Brut 2016,"0,75 lt.","€ 170,00",,
,133., Louis Roederer Philippe Starck Brut Nature Vintage 2015,"0,75 lt.","€ 170,00",,
,198., Pierre Peters Blanc de Blancs Grand Cru Extra Brut,"0,75 lt.","€ 150,00",,
,199., Deutz Classic Brut,"0,75 lt.","€ 95,00",,
,151., Cuvee William Deutz Brut 2013,"0,75 lt.","€ 325,00",,
,134., Bollinger Special Cuvee Brut,"0,75 lt.","€ 115,00",,
,135., Bollinger Special Cuvee Brut Magnum/Deutz Brut Classic Magnum,"1,50 lt.","€ 230,00",,
,137., Bollinger La Grande Annee Brut 2014,"0,75 lt.","€ 240,00",,
,, Bollinger B 13 Brut,"0,75 lt.","€ 210,00",,
,, Bollinger PN VZ 16 /AYC 18 Brut,"0,75 lt.","€ 180,00",,
,, Bollinger RD ,"0,75 lt.","€ 450,00",2007,/08 Extra Brut
,138., Pol Roger Brut ,"0,75 lt.","€ 105,00 / 16,00 ",,
,139., Teophile Rose Brut,"0,75 lt.","€ 85,00 / 16,00",,
,140., Gosset Grand Rose Brut,"0,75 lt.","€ 130,00",,
,157., Dom Perigon Rose Brut Vintage 2006,"0,75 lt.","€ 600,00",,
,159., Laurent Perrier Cuvee Rose Brut,"0,75 lt.","€ 140,00",,
,156., Jacquesson745/746 Extra Brut,"0,75 lt.","€ 130,00",,
,164., V. C. P. La Grande Dame Rose Brut ,"0,75 lt.","€ 450,00",2006, 
,136., Pol Roger Cuvee Sir Winston Churchill ,"0,75 lt.","€ 450,00",2013,/15
,142., Dom Perignon Cuvée Brut Vintage 2013,"0,75 lt.","€ 450,00",,
,143., Dom Perignon Cuvée Brut P2 Vintage 2000,"0,75 lt.","€ 750,00",,
,144., V. C. P. La Grande Dame Brut 2006,"0,75 lt.","€ 300,00",,
,145., Krug Grande Cuvée Brut,"0,75 lt.","€ 370,00",,
,163., Krug Vintage ,"0,75 lt.","€ 600,00",2006, Brut
,146., Roederer Cristal Brut Millesime  ,"0,75 lt.","€ 450,00",2000,/2008
,, Roederer Cristal Brut Millesime ,"1,5 lt.","€ 1150,00",2012, Magnum
,147., Dom Ruinart Blanc de Blancs Brut Millesime 2007,"0,75 lt.","€ 450,00",,
,148., Pol Roger Blanc de Blancs Brut Millesime 2015,"0,75 lt.","€ 175,00",,
,196., Amor de Deutz Blanc de Blancs Brut Millesime 2011,"0,75 lt.","€ 350,00",,
,149., Nicolas Feuillatte BdN Grand Cru Brut Millesime 2014,"0,75 lt.","€ 105,00",,
,150., Mailly Blanc de Noirs Brut,"0,75 lt.","€ 95,00",,
,152., Guy Larmandier Cramant Blanc de Blancs Grand Cru ,"1,50 lt.","€ 190,00",,
,153., Brut Jeroboam,"3,00 lt.","€ 380,00",,
,154., Bruno Paillard Nec Plus Ultra ,"0,75 lt.","€ 500,00",2002, Brut
,155., Salon Cuvee S Blanc de Blancs Le Mesnil ,"0,75 lt.","€ 1400,00",2012, Brut
,200., Gewürztraminer Vigna Kolbenhof ,"1,5 lt.","€ 130,00",2021, Hofstätter
,202., Sauvignon Lafoa ,"1,5 lt.","€ 110,00",2021, Schreckbichl-Colterenzio
,203., Sauvignon Voglar ,"1,5 lt.","€ 95,00",2018, Dipoli 
,205., Terlaner Weissburgunder Vorberg ,"1,5 lt.","€ 110,00",2020, KG.Terlan
,206., Vinschgauer Riesling ,"1,5 lt.","€ 95,00",2021," Falkenstein, Pratzner"
,207., Vintage Tunina ,"1,5 lt.","€ 190,00",2021, Jermann
,208., Chardonnay Formigar ,"3,0 lt.","€ 250,00",2010, Schreckbichl-Colterenzio
,209., Chardonnay Lafoa ,"1,5 lt.","€ 110,00",2020, Schreckbichl-Colterenzio
,211., Cabernet Löwengang ,"1,5 lt.","€ 250,00",2007, Alois Lageder
,210., Cabernet Löwengang ,"3,0 lt.","€ 500,00",2007, Alois Lageder
,212., Cabernet Sauvignon Ris. Mumelter ,"1,5 lt.","€ 125,00",2020, KG. Bozen
,213., Cabernet Sauvignon Lafoa ,"1,5 lt.","€ 210,00",2005, Schreckbichl-Colterenzio
,214., Cabernet Sauvignon Lafoa ,"3,0 lt.","€ 400,00",2005, Schreckbichl-Colterenzio
,215., Lagrein Riserva ,"1,5 lt.","€ 115,00",2018, Abtei Muri
,216., Lagrein Riserva Prestige ,"1,5 lt.","€ 115,00",2018, KG. Bozen
,217., Lagrein Riserva Taber ,"1,5 lt.","€ 150,00",2016, KG. Bozen
,224., Lagrein Ris. Vigna Klosteranger ,"1,5 lt.","€ 300,00",2014, Abtei Muri
,218., Pinot Nero Schweitzer ,"1,5 lt.","€ 150,00",2009, Franz Haas
,219., Pinot Nero Ris. Trattmann ,"1,5 lt.","€ 140,00",2016, KG. Girlan
,220., Pinot Nero Mazzon ,"1,5 lt.","€ 115,00",2015, Gottardi
,221.,  Pinot Nero Ris. Hausmannhof ,"1,5 lt.","€ 159,00",2015, Haderburg
,222., Pinot Nero Ris. Vigna S.Urbano ,"1,5 lt.","€ 215,00",2007,/10 Hofstätter
,243., Pinot Nero Ris.680 ,"1,5 lt.","€ 119,00",2015, Maso Thaler
,242., Merlot Ris. Praun ,"1,5 lt.","€ 115,00",2020, KG Bozen
,223., Kermesse ,"1,5 lt.","€ 170,00",2014, Elena Walch
,243., Cornelius Rosso ,"1,5 lt.","€ 120,00",2016, Schreckbichl-Colterenzio 
,225., Granato ,"1,5 lt.","€ 129,00",2003, Foradori
,226., San Leonardo ,"1,5 lt.","€ 210,00",2015, San Leonardo
,227., Iugum ,"3,0 lt.","€ 300,00",2011, Dipoli
,, Iugum ,"1,5 lt.","€ 150,00",2015, Dipoli
,228., Cepparello ,"1,5 lt.","€ 210,00",2001, Isole & Olena
,229., Brunello di Montalcino ,"1,5 lt.","€ 130,00",2015, Collosorbo
,230., Brunello di Montalcino Riserva ,"1,5 lt.","€ 320,00",2007, Capanna
,231., Mormoreto ,"1,5 lt.","€ 170,00",2012,/15 Frescobaldi
,245., Chianti Cl. Gran Selezione Rialzi ,"1,5 lt.","€ 130,00",2015, Perano
,232., Barolo Prapo ,"1,5 lt.","€ 350,00",1997, Ceretto
,233., Barolo Prapo ,"3,0 lt.","€ 700,00",1996, Ceretto
,234., Cor Römigberg ,"1,5 lt.","€ 250,00",2015, Alois Lageder
,235., Cor Römigberg ,"3,0 lt.","€ 500,00",2003, Alois Lageder
,236., Bricco dell’Uccellone ,"3,0 lt.","€ 290,00",1997, Braida
,237., Amarone della Valpolicella Ravazzol ,"1,5 lt.","€ 210,00",2016, Ca la Bionda
,199.,  Amarone della Valpolicella ,"1,5 lt.","€ 285,00",2012, Bertani
,238.,  Amarone della Valpolicella ,"3,0 lt.","€ 500,00",2006, Bertani
,239., Cote Rotie ,"1,5 lt.","€ 140,00",2010, Bonnefond
,240., Château Margaux ,"1,5 lt.","€ 2500,00",1991, 1-er Grand Cru Classe
,241., Château Latour ,"3,0 lt.","€ 3200,00",1991, Pauillac Grand Cru Classe
,246., Château Latour ,"1,5 lt.","€ 1600,00",1991, Pauillac Grand Cru Classe
WHITE,401., Eisacktaler Sylvaner ,"0,75 lt.","€ 45,00",2022," Kuenhof, Pliger"
WHITE,402., Eisacktaler Sylvaner Praepositus ,"0,75 lt.","€ 45,00",2022, Abtei Neustift
WHITE,403., Eisacktaler Sylvaner Alte Reben ,"0,75 lt.","€ 49,00",2019, Pacherhof
WHITE,404., Eisacktaler Sylvaner Lahner ,"0,75 lt.","€ 49,00",2020, Taschlerhof
WHITE,399., Eisacktaler Grüner Veltliner ,"0,75 lt.","€ 39,00",2022," Hoandlhof, Nössing"
WHITE,398., Eisacktaler Veltliner ,"0,75 lt.","€ 45,00",2022," Kuenhof, Pliger"
WHITE,397., Eisacktaler Grüner Veltliner ,"0,75 lt.","€ 49,00",2019, Dorfmann
WHITE,405., Eisacktaler Kerner ,"0,75 lt.","€ 39,00/6,50",2022," Hoandlhof, Nössing                                           "
WHITE,406.,  Eisacktaler Kerner Aristos ,"0,75 lt.","€ 45,00",2022, Eisacktaler Kellerei
WHITE,407., Gewürztraminer Selida ,"0,75 lt.","€ 39,00/6,50",2023, KG Tramin
WHITE,408., Eisacktaler Gewürztraminer ,"0,75 lt.","€ 40,00",2022, Taschlerhof
WHITE,409., Vigna Kolbenhof ,"0,75 lt.","€ 65,00",2021, Hofstätter
WHITE,410., Nußbaumer ,"0,75 lt.","€ 60,00",2022, KG. Tramin
WHITE,411., Lyra ,"0,75 lt.","€ 40,00",2022, KG. Nals-Margreid 
WHITE,412., Vigna Kastelaz ,"0,75 lt.","€ 60,00",2022, Elena Walch
WHITE,413., Argentum Bonum Kastelaz ,"0,75 lt.","€ 130,00",2014, Elena Walch
WHITE,462., Epokale ,"0,75 lt.","€ 250,00",2015," Kellerei Tramin (Süss, Dolce,Sweet)"
WHITE,466., Pirschrait ,"0,75 lt.","€ 155,00",2007, Weingut Hofstätter
WHITE,53., Riesling ,"0,75 lt.","€ 45,00",2021," Falkenstein, Pratzner"
WHITE,54., Riesling Kaiton ,"0,75 lt.","€ 45,00",2021," Kuenhof, Pliger"
WHITE,56., Riesling Geieregg ,"0,75 lt.","€ 50,00",2022," Himmelreichhof, Markus Fliri"
WHITE,57., Anadouron ,"0,75 lt.","€ 70,00",2018," Falkenstein, Pratzner"
WHITE,414., Cora ,"0,75 lt.","€ 35,00 / 6,00",2022, Schreckbichl-Colterenzio
WHITE,415., Moriz ,"0,75 lt.","€ 37,00",2023, KG. Tramin
WHITE,98., Limes ,"0,75 lt.","€ 55,00",2020, Niedrist
WHITE,416., Riserva Kalkberg ,"0,75 lt.","€ 39,00",2021, Kellerei St. Pauls
WHITE,417., Riserva Vorberg ,"0,75 lt.","€ 59,00",2021, Kellerei Terlan
WHITE,418., Riserva Sanctissimus ,"0,75 lt.","€ 115,00",2016,/18 KG. St. Pauls 
WHITE,419., Pepi ,"0,75 lt.","€ 39,00 / 6,50",2023, KG. Tramin
WHITE,420., Turmhof ,"0,75 lt.","€ 40,00",2022, Tiefenbrunner
WHITE,421., Voglar ,"0,75 lt.","€ 50,00",2020, Dipoli
WHITE,422., St. Valentin ,"0,75 lt.","€ 55,00",2022, KG. St. Michael
WHITE,424., Lafoa ,"0,75 lt.","€ 55,00",2022, Schreckbichl-Colterenzio
WHITE,427., Vom Kalk ,"0,75 lt.","€ 49,00",2020, Rohregger
WHITE,425., Quarz ,"0,75 lt.","€ 80,00",2021, Kellerei Terlan
WHITE,426., Chardonnay Moraine ,"0,75 lt.","€ 55,00 / 9,00",2021, Untermoserhof
WHITE,428., Cardellino ,"0,75 lt.","€ 45,00",2022, Elena Walch
WHITE,429., Lafoa ,"0,75 lt.","€ 55,00",2021, Schreckbichl-Colterenzio
WHITE,430., Riserva Baron Salvadori ,"0,75 lt.","€ 59,00",2019, KG.Nals
WHITE,459., Riserva Vigna Crivelli ,"0,75 lt.","€ 67,00",2021, Peter Zemmer
WHITE,431., Löwengang ,"0,75 lt.","€ 100,00",2020, Alois Lageder Bio
WHITE,461., Somereto ,"0,75 lt.","€ 30,00",2022, Kellerei Andrian
WHITE,447., Troy ,"0,75 lt.","€ 125,00",2019, Kellerei Tramin
WHITE,400.,  Riserva Kreuzweg ,"0,75 lt.","€ 140,00",2019, Castelfeder
WHITE,,  Löwengang INEDITO II (2013-,"0,75 lt.","€ 335,00",2021,) Alois Lageder
WHITE,432., Moscato Giallo ,"0,75 lt.","€ 39,00",2023, Manincor Bio
WHITE,436., Pinot Grigio ,"0,75 lt.","€35,00/6,00",2022, Schreckbichl-Colterenzio                                           
WHITE,433., St. Valentin ,"0,75 lt.","€ 52,00",2020, KG.St. Michael
WHITE,457., Riserva Vigna Giatl ,"0,75 lt.","€ 50,00",2020, Peter Zemmer
WHITE,458., Porer ,"0,75 lt.","€ 45,00",2022, Alois Lageder Bio
WHITE,434., Puiten ,"0,75 lt.","€ 39,00",2022, Schreckbichl-Colterenzio
WHITE,435., Feldmarschall von Fenner ,"0,75 lt.","€ 95,00",2019, Tiefenbrunner
WHITE,437., De Vite Bianco ,"0,75 lt.","€ 35,00 / 6,00",2023," Hofstätter (PB, MT, SB, R)"
WHITE,438., Terlaner Klassisch ,"0,75 lt.","€ 39,00",2023," Kellerei Terlan (PB,CH,SB)"
WHITE,439., Manna ,"0,75 lt.","€ 50,00",2022," Franz Haas (R, K, SB, CH, GEW)"
WHITE,440., Sophie ,"0,75 lt.","€ 66,00",2022," Manincor Bio (CH, SB)"
WHITE,441., Stoan ,"0,75 lt.","€ 55,00",2022," KG. Tramin (CH, SB, PB, GEW)"
WHITE,442., Grande Cuvee Beyound the Clouds ,"0,75 lt.","€ 99,00 ",2021,"  E. Walch (CH, PB, SB, GEW)"
WHITE,423., Nova Domus ,"0,75 lt.","€ 75,00",2021," Kellerei Terlan (CH, SB, PB)"
WHITE,443., Cason Weiss-Bianco ,"0,75 lt.","€ 75,00",2020,"  Alois Lageder Bio (VIO, PG, CH)"
WHITE,444., LR ,"0,75 lt.","€ 150,00",2018," Schreckbichl-Colterenzio (CH, PB, SB,)"
WHITE,445., Terlaner I. Grande Cuvee ,"0,75 lt.","€ 350,00 ",2017,"/19 Kellerei Terlan (PB, CH, SB)"
WHITE,446., Appius ,"0,75 lt.","€ 350,00",2016," KG. St. Michael (PB, CH, PG, SB)"
WHITE,448., Amos ,"0,75 lt.","€ 50,00",2019," Kellerei Kurtatsch (PB, CH, PG, SB)"
WHITE,456., NAMA ,"0,75 lt.","€ 180,00",2020," KG. Nals Margreid (CH, PB, SB)"
,450., Luis Rosé ,"0,75 lt.","€ 45,00",2022, Oberrauch
,453., La Rose ,"0,75 lt.","€ 45,00",2023, Manincor Bio
,454., Lagrein Krätzer Spätgelesen ,"0,75 lt.","€ 45,00",2023, Unterganzner
,451., Cuvee Rosé 448 ,"0,75 lt.","€ 29,00 / 5,00",2023, KG. Girlan
,455., Rosé 20/26 ,"0,75 lt.","€ 39,00",2023, Elena Walch
,460., Bardolino Chiaretto Nichesole ,"0,75 lt.","€ 29,00",2023, Corte Gardoni
,461., Ramato ,"0,75 lt.","€ 29,00",2023, Attems
RED,501., St. Magdalener Klassisch Hub ,"0,75 lt.","€ 45,00",2022,"  Untermoserhof, Ramoser"
RED,498., St. Magdalener Klassisch Moar ,"0,75 lt.","€ 40,00",2022, Bozen
RED,502., St. Magdalener Klassisch ANTHEOS ,"0,75 lt.","€ 46,00",2022, Waldgries
RED,503., Kalterersee Per Se ,"0,75 lt.","€ 35,00",2022, E. Walch
RED,497., Kalterersee Vigna Der Keil ,"0,75 lt.","€ 40,00",2023, Manincor Bio
RED,500., Kalterersee Alte Reben ,"0,75 lt.","€ 45,00",2019, Rohregger
RED,504., Vernatsch Schickenburg ,"0,75 lt.","€ 35,00",2022, Meran
RED,505., Riserva Patricia ,"0,75 lt.","€ 39,00 / 6,50",2022, KG. Girlan
RED,507., Mazzon ,"0,75 lt.","€ 50,00",2019, Gottardi
RED,506., Riserva Lafoa ,"0,75 lt.","€ 67,00/12,00",2020, Schreckbichl Colterenzio
RED,508., Riserva Mazon ,"0,75 lt.","€ 69,00",2019, Hofstätter
RED,509., Blauburgunder ,"0,75 lt.","€ 51,00",2021, Franz Haas 
RED,511., Pigeno ,"0,75 lt.","€ 48,00",2019, Stroblhof
RED,512., Ludwig ,"0,75 lt.","€ 69,00",2019, E. Walch
RED,513., Riserva Trattman ,"0,75 lt.","€ 69,00",2020, KG. Girlan
RED,499., Riserva Burgum Novum ,"0,75 lt.","€ 60,00",2019, Castelfeder
RED,514., Riserva Maglen ,"0,75 lt.","€ 65,00",2021, KG. Tramin
RED,515., Riserva Hausmannhof ,"0,75 lt.","€ 80,00",2018, Haderburg
RED,516., Riserva Vigna Kofl ,"0,75 lt.","€ 75,00",2021, Zemmer
RED,517., Blauburgunder Riserva ,"0,75 lt.","€ 68,00",2019, Stroblhof
RED,518., Mazzon Riserva ,"0,75 lt.","€ 105,00",2015, Gottardi
RED,519., Mason di Mason ,"0,75 lt.","€ 125,00",2020, Manincor Bio
RED,520., Riserva Villa Barthenau Vigna S. Urbano ,"0,75 lt.","€ 115,00",2017, J. Hofstätter
RED,521., Riserva Selection Bruno Gottardi ,"0,75 lt.","€ 190,00",2010, Gottardi
RED,522., Riserva Vigna Ganger ,"0,75 lt.","€ 195,00",2012,/16 KG. Girlan
RED,523., Riserva Vigna Roccolo ,"0,75 lt.","€ 290,00",2012,/15/16 Hofstätter
RED,565., Ponkler ,"0,75 lt.","€ 150,00",2016, Franz Haas
RED,571., Riserva Wildmonn ,"0,75 lt.","€ 115,00",2020, Wildmonn 
RED,580., Riserva 680 ,"0,75 lt.","€ 65,00",2015, Maso Thaler 
RED,524., Prestige Riserva ,"0,75 lt.","€ 49,00",2020, KG. Bozen
RED,525., Riserva Taber ,"0,75 lt.","€ 79,00",2020, KG. Bozen
RED,526., Riserva Urban ,"0,75 lt.","€ 65,00",2020, KG. Tramin
RED,527., Riserva ,"0,75 lt.","€ 55,00",2021," Untermoserhof, Ramoser"
RED,528., Riserva ,"0,75 lt.","€ 65,00",2021, Abtei Muri 
RED,530., Riserva Berger Gei ,"0,75 lt.","€ 60,00",2020, Niedriest 
RED,531., Riserva Porphyr ,"0,75 lt.","€ 89,00",2021, KG. Terlan 
RED,566., Riserva Furggl ,"0,75 lt.","€ 49,00",2020, Peter Zemmer 
RED,567., Riserva Mirell ,"0,75 lt.","€ 80,00",2019, Waldgries 
RED,568., Riserva ,"0,75 lt.","€ 60,00",2020, Glögglhof 
RED,569., Riserva Klosteranger ,"0,75 lt.","€ 135,00",2016, Abtei Muri 
RED,573., Riserva Roblinus ,"0,75 lt.","€ 140,00",2017,/18 Waldgries 
RED,574., Riserva Tor di Lupo ,"0,75 lt.","€ 70,00",2021, Kellerei Andrian 
RED,532., Riserva Campaner ,"0,75 lt.","€ 39,00 / 6,50",2021, KG. Kaltern
RED,533., Riserva Mumelter ,"0,75 lt.","€ 59,00",2018, KG. Bozen
RED,534., Istrice ,"0,75 lt.","€ 50,00",2021, E. Walch
RED,535., Löwengang Vigneto Storico ,"0,75 lt.","€ 120,00",2018, Alois Lageder Bio
RED,536., Riserva Vigna Castel Ringberg ,"0,75 lt.","€ 70,00",2018, Elena Walch
RED,537., Riserva Lafoa ,"0,75 lt.","€ 117,00",2020, Schreckbichl-Colterenzio
RED,538., Riserva Freienfeld ,"0,75 lt.","€ 95,00",2020, Kellerei Kurtatsch
RED,500., Riserva Quintessenz ,"0,75 lt.","€ 67,00",2020, KG. Kaltern
RED,540., Fihl ,"0,75 lt.","€ 42,00",2020, Dipoli
RED,541., Riserva Vigna Kastelaz ,"0,75 lt.","€ 75,00",2019, E. Walch
RED,543., MM ,"0,75 lt.","€ 80,00",2015," Alois Lageder, Bio"
