name,winery,vintage,size,price
Merlot Riserva Nussbaum 2020,Weingut Klosterhof,2020,,"""48,00 €"""
Merlot Riserva 2019,Schlossweingut Stachlburg Baron von Kripp,2019,,"""42,00 €"""
Levad 2020,Kellerei Nals Margreid,2020,,"""38,00 €"""
DJJ Merlot Riserva 2021,Weingut Niklas,2021,,"""63,00 €"""
Brenntal Merlot Riserva 2020,Kellerei Kurtatsch,2020,,"""58,00 €"""
Siebeneich Merlot Riserva,Kellerei Terlan,,,"""69,00 (2016) | 79,00 € (2014)"""
Zeno Blauburgunder Riserva,Kellerei Meran,,,"""44,00 € (2019) | 69,00 € (2010)"""
Monticol Riserva 2020,Kellerei Terlan,2020,,"""48,00 €"""
Schwarze Madonna,Weingut Klosterhof,,,"""46,00 € (2019) | 58,00 (2015)"""
Burgum Novum Riserva,Weingut Castelfeder,,,"""52,00 € (2019) | 65,00 (2015)"""
Amantus 2021,Weingut Eichenstein,2021,,"""36,00 €"""
Blauburgunder Riserva Vigna Kofl 2020,Weingut Peter Zemmer,2020,,"""53,00 €"""
Pigeno 2020,Weingut Stroblhof,2020,,"""43,00 €"""
Pinot Nero 2022,Kellerei Andrian,2022,,"""34,00 €"""
Barthenau Vigna S. Urbano 2018,Weingut J. Hofstätter,2018,,"""79,00 €"""
Blauburgunder Riserva 2021,Weinhof Prackfol,2021,,"""43,00 €"""
Blauburgunder vom Roten Kalk 2020,Weingut Abraham,2020,,"""59,00 €"""
Wildmonn Riserva 2020,Weingut Wildmonn,2020,,"""98,00 €"""
Südtiroler Blauburgunder Mazzon 2019,Weingut Gottardi,2019,,"""41,00 €"""
Lagrein 2020,Weinmanufaktur Luis Oberrauch,2020,,"""41,00 €"""
Gries Riserva 2021,Kellerei Terlan,2021,,"""42,00 €"""
Taber Riserva 2021,Kellerei Bozen,2021,,"""66,00 €"""
Perl 2022,Kellerei Bozen,2022,,"""36,00 €"""
Porphyr Riserva 2020,Kellerei Terlan,2020,,"""69,00 €"""
Rotes Bergwerk 2018,Weingut Kiemberger,2018,,"""43,00 €"""
Lagrein Riserva Weingarten Klosteranger 2020,Klosterkellerei Muri Gries,2020,,"""103,00 €"""
Segen Riserva,Kellerei Meran,,,"""42,00 € (2019) | 60,00 € (2014) | 70,00 € (2011)"""
Prestige Grieser Lagrein Riserva 2020,Kellerei Bozen,2020,,"""43,00 €"""
Laianus Riserva 2018,Weingut Klaus Lentsch,2018,,"""53,00 €"""
Mirell Riserva 2020,Ansitz Waldgries,2020,,"""54,00 €"""
Lamarein,Weingut Erbhof Unterganzner,,,"""126,00 € 2022 (auf Anfrage) | 136,00 € 2021 (auf Anfrage) """
Sass Roà Riserva 2020,Landesweingut Laimburg,2020,,"""44,00 €"""
Kirchhügel Riserva 2020,Kellerei Kurtatsch,2020,,"""37,00 €"""
COR Römigberg 2018,Weingut Alois Lageder,2018,,"""73,00 €"""
Freienfeld Riserva,Kellerei Kurtatsch,,,"""65,00 (2020) | 89,00 € (2011)"""
Mumelter Riserva 2019,Kellerei Bozen,2019,,"""54,00 €"""
Staffes Riserva,Weingut Kornell,,,"""41,00 € (2020) | 51,00 € (2015)"""
Quintessenz Riserva 2020,Kellerei Kaltern,2020,,"""49,00 €"""
Cabernet Riserva,Weingut Wassererhof,,,"""44,00 € (2019) | 50,00 (2017) | 53,00 (2016) | 56,00 € (2015)"""
Barleith 2020 | Amphorenwein,Bioweinhof Tröpfltalhof,2020,,"""65,00 €"""
Vigna Toren Riserva 2020,Schlosskellerei Tiefenbrunner,2020,,"""154,00 € | 325,00 € 2018 (Magnum)"""
"""Mauritius 2020 | ME, LA""",Kellerei Bozen,2020,,"""54,00 €"""
"""Col de Réy 2018 | LA, PV, TAN""",Landesweingut Laimburg,2018,,"""59,00 €"""
"""Iugum 2017 | ME, CS""",Weingut Peter Dipoli,2017,,"""57,00 €"""
Graf Merlot-Lagrein 2022,Kellerei Meran,2022,,"""38,00 €"""
"""Composition Reif 2022 | CS, CF, PV, LA""",Weingut Erbhof Unterganzner,2022,,"""68,00 €"""
"""Castel Campan 2020 | CF, ME""",Weingut Manincor,2020,,"""109,00 €"""
"""Mumbolt 2021 | CS, CF, LA, SY Weingut""",Wassererhof,2021,,"""41,00 €"""
"""Linticlarus Riserva 2021 | CS, ME""",Schlosskellerei Tiefenbrunner,2021,,"""61,00 €"""
"""Viribus Unitis 2018 | CS, TAN, LA""",Weingut Andi Sölva und Norbert Kofler,2018,,"""84,00 €"""
"""Frauenriegel 2020 | ME, CF""",Weingut Peter Dipoli,2020,,"""59,00 €"""
Kunstwerk der Natur Sagittarius 2019,Weingut Kränzelhof,2019,,"""63,00 €"""
"""Staffelfeld 2020 | CS, ME, CF""",Weingut Baron Widmann,2020,,"""46,00 €"""
"""Cassiano 2020 | ME, CF, TE, CS, PV, SY""",Weingut Manincor,2020,,"""51,00 €"""
"""TRES 2016 | ME, CS""",Kellerei Kurtatsch,2016,,"""215,00"""
"""Klaser Stoanadler Riserva 2021 | LA, CS""",Weingut Niklas,2021,,"""41,00 €"""
Saperaira 2019,Kellerei Meran,2019,,"""49,00 €"""
Barolo Bricco delle Viole 2013,G.D. Vajra,2013,,"""159,00 €"""
Barolo 2019,Kellerei Massolino,2019,,"""57,00"""
Barolo Lazzarito 2019,Kellerei Vietti,2019,,"""199,00 €"""
Montebruna 2020,Weingut Braida,2020,,"""38,00 €"""
Barbera d’Asti Bricco dell’Uccellone,Weingut Braida,,,"""81,00 €"""
Barbera del Monferrato Rivalta 2003,Villa Sparina,2003,,"""69,00 €"""
Barbaresco,Weingut Produttori del Barbaresco,,,"""47,00 € 2020 | 53,00 € 2018 """
Barbaresco Don Fiarino Riserva 2016,Weingut Produttori del Barbaresco,2016,,"""79,00 €"""
Barbaresco Secondine 2019 Kellerei,Alfredo Prunotto,2019,,"""98,00 €"""
Barbaresco 2019,Agrargesellschaft Gaja,2019,,"""290,00 €"""
Nebbiolo Perbacco 2019,Kellerei Vietti,2019,,"""41,00 €"""
"""Solo per un Amico 2012 | CV, CS, TO""",Kellerei Secondo Marco,2012,,"""102,00 €"""
Amarone della Valpolicella 2013,Kellerei Secondo Marco,2013,,"""75,00 €"""
"""Fumetto Riserva 2008 | CV, COR, RON""",Kellerei Secondo Marco,2008,,"""269,00 €"""
Valpolicella Ripasso Superiore 2019,Weingut Zenato,2019,,"""42,00 €"""
Valpolicella Valpantena Superiore 2019,Costa Arènte,2019,,"""42,00 €"""
Amarone della Valpolicella Classico 2018,Weingut Zenato,2018,,"""84,00 €"""
Amarone della Valpolicella Classico,Weingut Bertani,,,"""161,00 € (2011) | 198,00 € (2007)"""
Kairos Cuvée 2019,Zýmē di Celestino Gaspari,2019,,"""98,00 €"""
Amarone della Valpolicella Case Vecie 2017,Agrargesellschaft Brigaldara,2017,,"""69,00 €"""
Ilmerlot 2011,Ca’ del Bosco,2011,,"""110,00 €"""
"""Veronese Rosso """"Campofiorin"""" 2012 COR, RON""",Weingut Masi,2012,,"""76,00 €"""
"""Terra di Monteverro | ME, CF, PV, CS""",Weingut Monteverro,,,"""73,00 (2019) | 79,00 € (2014)"""
"""Monteverro | ME, CF, PV, CS""",Weingut Monteverro,,,"""197,00 (2019) | 182,00 € (2018)"""
"""Bolgheri Villa Donoratico 2020 | CS, ME, CF, PV""",Weingut Argentiera,2020,,"""55,00 €"""
Rosso di Montalcino Pian delle Vigne,Tenuta Marchesi Antinori,,,"""78,00 € (2013) | 83,00 € (2012)"""
"""Sassicaia | CS, CF""",Kellerei San Guido,,,"""430,00 € (2018) | 430,00 € (2017) | 750,00 € (2016) | 550,00 € (2015) | 450,00 € (2014) """
"""Il Bruciato 2022 | CS, ME, SY, CF, PV""",Weingut Guado al Tasso – Antinori,2022,,"""43,00 €"""
"""Insoglio del Cinghiale 2022 | SY, CF, ME, PV""",Weingut Biserno,2022,,"""43,00 €"""
Brunello di Montalcino Riserva 2012 Duelecci Ovest,Tenuta di Sesta,2012,,"""121,00 €"""
Desiderio Toscana Merlot 2020,Avignonesi,2020,,"""74,00 €"""
Cepparello Sangiovese Toscana 2019,Isole E Olena,2019,,"""135,00 €"""
Brunello di Montalcino 2019,Weingut Col d’Orcia,2019,,"""58,00 €"""
When We Dance Chianti Classico 2022,Weingut Il Palagio,2022,,"""37,00 €"""
Villa Antinori Chianti Classico Riserva 2020,Weingut Marchese Antinori,2020,,"""38,00 €"""
Marchese Antinori Chianti Classico Riserva 2020,"""Weingut Tignanello, Antinori""",2020,,"""54,00 €"""
Cont’Ugo 2021 | ME,Weingut Guado al Tasso,2021,,"""65,00 €"""
"""Concerto di Fonterutoli 2015 | SA, CS""",Mazzei Castello di Fonterutoli,2015,,"""89,00 €"""
"""Solaia 2019 | CS, SA, CF""",Tenuta Tignanello - Antinori,2019,,"""495,00 €"""
"""Cabreo Il Borgo 2019 | SA, CS""",Ambrogio e Giovanni Folonari,2019,,"""68,00 €"""
"""Il Blu Rosso | ME, CS, SA""",Brancaia,,,"""97,00 € (2018) | 149,00 (1999)"""
Primitivo di Manduria Abbasc 2021,Kellerei Ionis,2021,,"""38,00 €"""
Ater Primitivo di Manduria 2015,Kellerei Ionis,2015,,"""47,00 €"""
„Es“ Primitivo di Manduria 2022,Gianfranco Fino,2022,,"""87,00 €"""
„Jo“ Negroamaro 2020,Gianfranco Fino,2020,,"""87,00 €"""
"""Mille e una Notte 2019 | ND, PV, SY""",Kellerei Donnafugata,2019,,"""89,00 €"""
"""Dolce & Gabbana Tancredi 2020 | CS, ND, TAN""",Kellerei Donnafugata,2020,,"""58,00 €"""
Merlot Ars Magna 2016,Kellerei Omina Romana,2016,,"""89,00 €"""
Montepulciano Jarno Rosso 2015,Castorani Colline Pescaresi,2015,,"""61,00 €"""
Nero d’Avola Dieci Inverni 2012,Castorani Colline Pescaresi,2012,,"""149,00 €"""
Pic Chablis 1er Cru,"""Domaine Régnard, Ladoucette, Frankreich""",,,"""140,00 (2017) | 162,00 € (2012)"""
Chablis Vieilles Vigne 2020,"""Domaine Gautheron Alain et Cyril, Frankreich""",2020,,"""54,00 €"""
"""Chablis Grand Cru """"Vaudésir"""" 2019""","""Domaine Besson, Burgund Frankreich""",2019,,"""75,00 €"""
Sancerre Blanc 'Clos Paradis' 2022,"""Domaine Fouassier, Loire Tal Frankreich""",2022,,"""48,00 €"""
Sous le Puits Puligny-Montrachet 1er Cru 2019,"""Maison Louis Latour, Frankreich""",2019,,"""145,00 € 2022 | 165,00 € 2018"""
"""Blanc de Lynch-Bages 2018 | SB, SE, MCD""","""Château Lynch-Bages, Bordeaux, Frankreich""",2018,,"""125,00 €"""
"""Alter Ego de Palmer 2020 | ME, CS, PV""","""Château Palmer, Bordeaux, Frankreich""",2020,,"""153,00 €"""
"""Les Vieilles Vignes 2017 | GR, MO, SY, CI""","""Domaine de Villeneuve,""",2017,,"""81,00 €"""
Ried Zieregg Sauvignon Blanc 2020,"""Weingut Tement, Südsteiermark, Österreich""",2020,,"""75,00 €"""
Leutschacher Sauvignon Blanc 2020 Weingut,"""Erwin Sabathi, Südsteiermark""",2020,,"""37,00 €"""
Riesling Rotschiefer „1000 Alte Reben“ 2019,"""Weingut Sorentberg und Castelfeder, Mosel""",1000,,"""98,00 €"""
Gottesfuß Alte Reben Riesling 2022,"""Weingut Van Volxem, Deutschland""",2022,,"""69,00 €"""
Riesling Trocken 2021,"""Weingut Fritz Haag, Deutschland""",2021,,"""29,00 €"""
Fläscher Pinot Noir Uris 2020,"""Weingut Davaz, Schweiz""",2020,,"""89,00 €"""
"""CR 1 Redstone Reserve I CS, COT""","""Capelands Estate, Somerset West, Südafrika""",,,"""69,00 € (2016) | 79,00 € (2015)"""
"""Marqués de Murrieta Reserva 2018 | TE, MAZ, GR""","""Bodegas Marqués de Murrieta, Rioja, Spanien""",2018,,"""48,00 €"""
"""Viña Tondonia Reserva | TE, GR, MAZ, GRA""","""López de Heredia, Rioja, Spanien""",,,"""68,00 € (2010) | 84,00 € (2006)"""
"""Galantas Gran Reserva 2018 | CF, CRE""","""Viña Haras de Pirque, Chile""",2018,,"""38,00 €"""
Wine of Lebanon,"""Château Musar – Gaston Hochar, Libanon""",,,"""99,00 (2017) | 105 € (2016) | 129,00 € (2007) | 148,00 € (2003)"""
"""Bin 389 2019 | CS, SY""","""Penfolds, South Australia""",2019,,"""106,00 €"""
"""Praeclarus Brut 1,5 L | CH""","""Kellerei St. Pauls, Eppan""",,,"""92,00 €"""
"""Arunda Cuvée Marianna Extra Brut 1 ,5 L | CH, PN""","""Sektkellerei Arunda, Mölten""",,,"""95,00 €"""
"""Ca’ del Bosco Rosé Annamaria Clementi Vintage 2012 Extra Brut 1,5 L | PN ""","""Ca’ del Bosco, Franciacorta, Lombardei""",2012,,"""345,00 €"""
"""Champagne Signature Brut 1,5 L | PN""","""Huguenot - Tassin, Celles sur Ource""",,,"""105,00 €"""
"""Ca’ del Bosco Cuvée Prestige Rosé Brut 1,5 L PN, CH""","""Ca’ del Bosco, Franciacorta, Lombardei""",,,"""86,00 €"""
"""Terlaner Cuvée 1,5 L | PB, CH, SB""",Kellerei Terlan,,,"""82,00 € (2022) | 98,00 (2020) | 125,00 (2018) | 135,00 (2017) """
"""Sauvignon Quarz Riserva 1,5 L""",Kellerei Terlan,,,"""150,00 € (2020) | 190,00 € (2018) | 195,00 € (2017) | 215,00 € (2015) | 225,00 € (2014) | 235,00 € (2013) """
"""Sauvignon Sanct Valentin 2022 1,5 L""",Kellerei St. Michael Eppan,2022,,"""81,00 €"""
"""Nova Domus Terlaner Riserva 1,5 L | PB, CH, SB""",Kellerei Terlan,,,"""205,00 € (2015) | 215,00 € (2014) | 225,00 € (2013)"""
"""Weissburgunder Sirmian 2017 1,5 L""",Kellerei Nals Margreid,2017,,"""130,00 €"""
"""Weissburgunder Vorberg Riserva 1,5 L""",Kellerei Terlan,,,"""138,00 € (2017) | 158,00 € (2015) | 169,00 € (2014) | 180,00 € (2013) """
"""Chardonnay Lafóa 2022 1,5 L""",Kellerei Schreckbichl,2022,,"""115,00 €"""
"""Chardonnay Burgum Novum 2017 1,5 L""",Weingut Castelfeder,2017,,"""125,00 €"""
"""Kerner Aristos 2022 1,5 L""",Kellerei Eisacktal,2022,,"""78,00 €"""
"""Pic Chablis 1er Cru 2012 1,5 L""","""Domaine Régnard, Ladoucette, Frankreich""",2012,,"""350,00 €"""
"""Vigna Toren Riserva 2018 1,5 L""",Schlosskellerei Tiefenbrunner,2018,,"""325,00 €"""
"""Linticlarus Riserva 2019 1,5 L | CS, ME""",Schlosskellerei Tiefenbrunner,2019,,"""135,00 €"""
"""Composition Reif 1,5 L | CS, CF, PV, LA""",Weingut Erbhof Unterganzner,,,"""175,00 € 2020 | 185,00 € 2019"""
"""Lagrein Mirell Riserva 2020 1,5 L""",Ansitz Waldgries,2020,,"""130,00 €"""
"""Lamarein 1,5 L""",Weingut Erbhof Unterganzner,,,"""245,00 € 2021 | 235,00 € (2022) (auf Anfrage)"""
"""Tor di Lupo Lagrein Riserva 1,5 L""",Kellerei Andrian,,,"""165,00 € (2014) | 175,00 € (2013)"""
"""Sanct Valentin Pinot Noir Riserva 2018 1,5 L""",Kellerei St. Michael Eppan,2018,,"""130,00 €"""
"""Taber Lagrein Riserva 1999 1,5 L""",Kellerei Bozen,1999,,"""189,00 €"""
Porphyr Lagrein Riserva 2020,Kellerei Terlan,2020,,"""149,00 € ( 1,5 L ) | 310,00 ( 3,0 L )"""
"""Monticol Riserva 2020 1,5 L""",Kellerei Terlan,2020,,"""110,00 €"""
"""Merlot Mervin 2005 1,5 L""",Kellerei Meran,2005,,"""105,00 €"""
"""Amistar Rosso 2014 1,5 L""",Weingut Peter Sölva,2014,,"""145,00 €"""
"""Terra di Monteverro 2019 | ME, CF, PV, CS""",Weingut Monteverro,2019,,"""165,00 ( 1,5 L ) | 330,00 € ( 3 L )"""
"""Concerto di Fonterutoli 1,5 L | SG, CS""",Mazzei Castello di Fonterutoli,,,"""199,00"""
"""Kairos Cuvée 2019 1,5 L""",Zýmē di Celestino Gaspari,2019,,"""205,00 €"""
"""Amarone della Valpolicella Classico 2007 1,5 L""",Weingut Bertani,2007,,"""380,00 €"""
"""Cabreo Il Borgo 2019 1,5 L | SA, CS""",Ambrogio e Giovanni Folonari,2019,,"""145,00 €"""
"""Ilatraia 2013 1,5 L | PV, CS, CF""",Brancaia,2013,,"""205,00 €"""
"""Tignanello 2013 1,5 L | SG, CS, CF""",Tenuta Tignanello - Antinori,2013,,"""435,00 €"""
"""Modus 1998 Ruffino 1,5 L | SG, CS, ME""",Ruffino,1998,,"""199,00 €"""
"""CR 1 Redstone Reserve 2016 3,0 L I CS, COT""","""Capelands Estate, Somerset West, Südafrika""",2016,,"""165,00 €"""
"""Merlot-Lagrein Graf 2021 5,0 L""",Kellerei Meran,2021,,"""225,00 €"""
"""Amarone della Valpolicella """"Costasera"""" 2009 6,0 L""",Masi,2009,,"""1.100,00 €"""
